,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
645,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.6,0.24,3.0,3.0,0.75,2.857142857142857,3.0,0.1224489795918367,4.4,0.64,5.0,1,0,1,0
646,1,0.0,17.0,0.0,2,0,0.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.25,2.5,1.1875,3.142857142857143,3.0,0.1224489795918367,4.6,0.24,4.0,0,1,1,0
647,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.625,2.5,0.984375,3.2857142857142856,3.0,0.489795918367347,4.2,0.5599999999999999,1.0,1,0,0,1
648,1,0.0,16.0,1.0,3,2,1.0,0.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.375,2.5,0.484375,3.571428571428572,4.0,1.1020408163265307,5.0,0.0,1.0,0,1,1,0
649,1,0.0,16.0,0.0,2,2,1.0,0.0,1.0,0.0,1.0,0,2.0,0.4,2.625,2.5,0.484375,2.2857142857142856,1.0,2.204081632653061,3.6,1.04,2.0,0,1,0,1
650,2,1.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1,2.4,0.24,2.125,2.0,0.359375,2.142857142857143,2.0,0.9795918367346936,4.2,0.1599999999999999,2.0,1,0,1,0
651,1,0.0,17.0,1.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.5,2.5,0.25,3.2857142857142856,3.0,0.489795918367347,3.4,0.64,2.0,1,0,1,0
652,1,0.0,17.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.75,3.0,0.4375,3.7142857142857135,4.0,0.2040816326530612,3.0,0.8,1.0,1,0,1,0
653,1,0.0,16.0,1.0,3,3,1.0,1.0,1.0,0.0,1.0,0,3.0,0.0,2.375,2.0,0.234375,3.571428571428572,4.0,0.2448979591836734,4.2,0.5599999999999999,2.0,1,0,1,0
654,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.64,2.375,2.0,0.734375,3.571428571428572,4.0,1.1020408163265307,2.2,1.36,3.0,1,0,1,0
655,1,1.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.25,2.0,0.6875,3.857142857142857,4.0,0.1224489795918367,2.8,1.36,3.0,1,0,1,0
656,1,0.0,17.0,0.0,4,3,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0,2.5,2.5,0.75,3.2857142857142856,4.0,0.7755102040816327,4.0,0.4,5.0,1,0,1,0
657,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,1.2,0.16,2.5,2.5,0.75,3.7142857142857135,4.0,0.2040816326530612,5.0,0.0,4.0,1,0,0,1
658,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.0,0.4,2.125,2.0,0.359375,3.4285714285714284,4.0,0.816326530612245,4.4,1.44,2.0,0,1,1,0
