pc,operador,umbral,constante,target,β_PAÍS,β_ETNIA.BN,β_EDAD,β_FUGAS.BN,β_ABUSOSUBS1,β_ABUSOSUBS2,β_CONVIVEN.1,β_CONVIVEN.2,β_CONVIVEN.3,β_CONVIVEN.4,β_CONVIVEN_H,β_CONVIVEN_0,β_AUTOEFIC.MEAN,β_AUTOEFIC.VAR,β_IMPULS.MEAN,β_IMPULS.MEDIAN,β_IMPULS.VAR,β_APOYO.MEAN,β_APOYO.MEDIAN,β_APOYO.VAR,β_MORAL.MEAN,β_MORAL.VAR,β_PORNO.T,β_GENERO.BN0,β_ORIENTSEX.BN0,β_GENERO.BN1,β_ORIENTSEX.BN1
PC18,<=,0.02,0.8304572888207544,,-0.00833455408520542,-0.0032828220689652436,-0.0033851566556977243,0.027370213472645514,-0.0064387738452382996,-0.001747242930018762,-0.014127680785916601,-0.02596428156283996,0.008361288057699508,-0.03724895358965486,-0.011512231564188069,-0.005685753025743677,0.10008618160439488,-0.1673738620542364,0.043122470678435304,0.10043124713694168,-0.21887692201054376,0.010901134363850658,0.11370948300269182,0.24499710350753523,0.0014131952420223589,-0.029602085371607155,-0.00460709484523072,-0.02237978445393676,-0.02481910904777893,0.022379784453936877,0.024819109047778617
PC16,<=,0.14,-0.34305111154660417,,0.042476241058451145,0.020219184359540433,-0.02133207921692227,0.03577967562869613,0.002693216180029564,0.009945150669549178,-0.0744113181282738,-0.06590000259574523,-0.14511288896644348,-0.016392969770283594,0.017868911597622685,0.0494984064323413,0.06568767824715613,-0.08611746494481473,-0.09432648489195984,-0.15434759038449397,0.030639214939640252,-0.026136320186058066,-0.0405671528411144,0.06039212625875393,0.14468209868183346,-0.11872079051572726,-0.003913847211915117,0.025432025437234967,0.00812190622816522,-0.025432025437234745,-0.008121906228165093
PC5,<=,-0.07,2.868613589890764,,0.1197741564652044,-0.2994853676214497,0.15142492498887825,0.3054714800510228,0.08994818409008835,0.0563017599570136,0.0002879237391063827,-0.30913864044154116,0.1217253251868806,0.02654953930918732,0.30026273607919196,-0.0008865899343437443,-0.004164261158427012,0.001468257836624137,-0.0006300235046170153,0.0007192181612614524,-0.02199074638483807,0.013471413287098211,0.017135876489135955,-0.018374654511224785,0.005734935771955802,-0.0020752034498410067,0.05267488458269428,-0.05951078457146622,0.16266080432549157,0.059510784571466344,-0.16266080432549163
PC15,<=,-0.39,0.31001212691247726,,0.0338251328899312,-0.05176896845591579,0.013368097524789355,-0.018484855818176618,0.00493257477549133,-0.0054282243624743515,0.008617574624339808,0.012360314734972204,-0.017279343107395317,-0.018569402388361828,0.013595091802378818,-0.01811542675306196,0.04156388439789665,0.14004852258834266,-0.06644944886451398,-0.1153272442521486,0.16721628944197298,0.03038156179092587,0.11748603001917529,0.25559085118146296,-0.03397590207069086,0.08815121490935611,-0.004818139849483547,0.002822579961185728,-0.007542747757308388,-0.002822579961185992,0.007542747757308277
PC15,>,-0.39,-0.31001212691247726,,-0.0338251328899312,0.05176896845591579,-0.013368097524789355,0.018484855818176618,-0.00493257477549133,0.0054282243624743515,-0.008617574624339808,-0.012360314734972204,0.017279343107395317,0.018569402388361828,-0.013595091802378818,0.01811542675306196,-0.04156388439789665,-0.14004852258834266,0.06644944886451398,0.1153272442521486,-0.16721628944197298,-0.03038156179092587,-0.11748603001917529,-0.25559085118146296,0.03397590207069086,-0.08815121490935611,0.004818139849483547,-0.002822579961185728,0.007542747757308388,0.002822579961185992,-0.007542747757308277
PC5,>,-0.07,-2.868613589890764,,-0.1197741564652044,0.2994853676214497,-0.15142492498887825,-0.3054714800510228,-0.08994818409008835,-0.0563017599570136,-0.0002879237391063827,0.30913864044154116,-0.1217253251868806,-0.02654953930918732,-0.30026273607919196,0.0008865899343437443,0.004164261158427012,-0.001468257836624137,0.0006300235046170153,-0.0007192181612614524,0.02199074638483807,-0.013471413287098211,-0.017135876489135955,0.018374654511224785,-0.005734935771955802,0.0020752034498410067,-0.05267488458269428,0.05951078457146622,-0.16266080432549157,-0.059510784571466344,0.16266080432549163
PC8,<=,-0.45,-1.6121673556028344,,-0.03163312347943909,0.07847315160741355,-0.132792550136905,0.45733583152308205,0.006476756409069445,0.009109012647617001,-0.10872981241715945,0.025356494241185086,0.08723124953108702,0.049384094325171005,0.00985060715585546,0.18304556701096805,0.047419479762862274,-0.017269694505800303,-0.01813159317612314,-0.027542658665524036,0.002825997862350895,0.12829874106673603,0.15347257318089563,-0.1731739799446561,0.007356935980280331,0.007224752216507015,0.016676736544676225,-0.013138898988729173,-0.10497308991898495,0.013138898988729247,0.10497308991898498
PC8,>,-0.45,1.6121673556028344,,0.03163312347943909,-0.07847315160741355,0.132792550136905,-0.45733583152308205,-0.006476756409069445,-0.009109012647617001,0.10872981241715945,-0.025356494241185086,-0.08723124953108702,-0.049384094325171005,-0.00985060715585546,-0.18304556701096805,-0.047419479762862274,0.017269694505800303,0.01813159317612314,0.027542658665524036,-0.002825997862350895,-0.12829874106673603,-0.15347257318089563,0.1731739799446561,-0.007356935980280331,-0.007224752216507015,-0.016676736544676225,0.013138898988729173,0.10497308991898495,-0.013138898988729247,-0.10497308991898498
PC16,>,0.14,0.34305111154660417,,-0.042476241058451145,-0.020219184359540433,0.02133207921692227,-0.03577967562869613,-0.002693216180029564,-0.009945150669549178,0.0744113181282738,0.06590000259574523,0.14511288896644348,0.016392969770283594,-0.017868911597622685,-0.0494984064323413,-0.06568767824715613,0.08611746494481473,0.09432648489195984,0.15434759038449397,-0.030639214939640252,0.026136320186058066,0.0405671528411144,-0.06039212625875393,-0.14468209868183346,0.11872079051572726,0.003913847211915117,-0.025432025437234967,-0.00812190622816522,0.025432025437234745,0.008121906228165093
PC8,<=,0.37,-0.7921673556028345,,-0.03163312347943909,0.07847315160741355,-0.132792550136905,0.45733583152308205,0.006476756409069445,0.009109012647617001,-0.10872981241715945,0.025356494241185086,0.08723124953108702,0.049384094325171005,0.00985060715585546,0.18304556701096805,0.047419479762862274,-0.017269694505800303,-0.01813159317612314,-0.027542658665524036,0.002825997862350895,0.12829874106673603,0.15347257318089563,-0.1731739799446561,0.007356935980280331,0.007224752216507015,0.016676736544676225,-0.013138898988729173,-0.10497308991898495,0.013138898988729247,0.10497308991898498
