idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
949,1,0,0.25101214574898784,14.0,True,False,True,False,True,False
2960,1,1,0.5456885456885456,16.0,False,True,True,True,False,True
2346,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
3638,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
3608,1,1,0.5456885456885456,15.0,False,True,False,False,True,False
1898,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
419,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
3191,0,1,0.5456885456885456,15.0,False,True,True,True,True,False
3446,1,0,0.25101214574898784,17.0,False,True,True,False,True,False
302,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
3136,1,1,0.5456885456885456,17.0,False,True,True,False,False,True
2845,1,1,0.5456885456885456,17.0,False,True,False,True,True,False
1512,1,0,0.25101214574898784,17.0,False,True,True,False,True,False
3528,1,1,0.5456885456885456,16.0,True,False,False,True,True,False
2276,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
2084,0,1,0.5456885456885456,16.0,False,True,True,False,False,True
286,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
2187,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
26,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
718,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
1381,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
2930,0,1,0.5456885456885456,15.0,True,False,True,True,True,False
2332,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
2820,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
1471,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
2884,0,1,0.5456885456885456,14.0,False,True,True,True,True,False
1201,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
1167,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
986,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
333,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
882,0,1,0.5456885456885456,14.0,False,True,True,False,True,False
497,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
322,0,1,0.5456885456885456,14.0,True,False,True,True,True,False
3732,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
100,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
3073,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
3111,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
2916,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2104,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
6,0,1,0.5456885456885456,16.0,True,False,True,False,False,True
3387,1,1,0.5456885456885456,16.0,False,True,True,False,False,True
3026,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
3530,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
668,0,1,0.5456885456885456,16.0,True,False,False,False,True,False
1349,1,1,0.5456885456885456,14.0,False,True,True,True,True,False
3439,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
2773,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
1574,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
564,0,1,0.5456885456885456,15.0,False,True,True,False,False,True
2683,0,0,0.25101214574898784,16.0,True,False,True,False,True,False
2096,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
3766,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
2019,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1083,1,1,0.5456885456885456,15.0,False,True,True,True,True,False
1641,1,1,0.5456885456885456,16.0,False,True,True,False,False,True
3433,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
1586,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
2239,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
2208,1,1,0.5456885456885456,14.0,True,False,True,True,True,False
