threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support,distance_to_results
0.093,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.094,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.095,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.096,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.097,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.098,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.099,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.1,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.101,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.102,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.103,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.104,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.105,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.106,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.107,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.108,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.109,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
0.11,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,0.0,0.31785714285714284,178,764,0,0,942,0.5712072792630758
