u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,tanh,0.2,16,relu,0.0,0.4,0.5753715498938429,0.6628110477086887,0.8033707865168539,0.5222513089005235,0.281496062992126,0.9193548387096774,0.41690962099125367,0.7230713664027479,143,365,399,35,3
32,relu,0.2,8,relu,0.0,0.4,0.5668789808917197,0.6575754456144479,0.8033707865168539,0.5117801047120419,0.2771317829457364,0.9178403755868545,0.41210374639769454,0.7215878179792609,143,373,391,35,3
64,tanh,0.2,8,tanh,0.0,0.4,0.5902335456475584,0.6698188128713454,0.797752808988764,0.5418848167539267,0.2886178861788618,0.92,0.42388059701492536,0.72125251748429,142,350,414,36,3
64,tanh,0.2,8,relu,0.1,0.45,0.5456475583864119,0.6444864403788458,0.8033707865168539,0.4856020942408377,0.2667910447761194,0.9137931034482759,0.4005602240896359,0.7179359431151787,143,393,371,35,3
32,relu,0.2,16,relu,0.1,0.4,0.5615711252653928,0.6521486558032825,0.797752808988764,0.506544502617801,0.27360308285163776,0.9148936170212766,0.40746054519368724,0.716217005737955,142,377,387,36,3
32,tanh,0.2,16,tanh,0.1,0.45,0.60828025477707,0.6744808518148127,0.7808988764044944,0.5680628272251309,0.29637526652452023,0.9175475687103594,0.42967542503863987,0.7111629104985606,139,330,434,39,3
64,tanh,0.2,8,tanh,0.1,0.4,0.6050955414012739,0.6703629625272075,0.7752808988764045,0.5654450261780105,0.2936170212765957,0.9152542372881356,0.42592592592592593,0.7061309238465843,138,332,432,40,3
32,tanh,0.2,16,tanh,0.0,0.4,0.6114649681528662,0.6721351255956233,0.7696629213483146,0.574607329842932,0.29653679653679654,0.9145833333333333,0.428125,0.7028447497166244,137,325,439,41,3
64,tanh,0.2,16,tanh,0.1,0.4,0.6295116772823779,0.6789517030413554,0.7584269662921348,0.599476439790576,0.30612244897959184,0.9141716566866267,0.43618739903069464,0.6973014619107246,135,306,458,43,3
64,tanh,0.3,8,tanh,0.0,0.4,0.618895966029724,0.6702526619212894,0.7528089887640449,0.587696335078534,0.2984409799554566,0.9107505070993914,0.4274322169059011,0.6908609225146349,134,315,449,44,3
32,tanh,0.3,16,relu,0.0,0.4,0.6422505307855626,0.682496029178187,0.7471910112359551,0.6178010471204188,0.3129411764705882,0.9129593810444874,0.44112769485903813,0.6908270313478647,133,292,472,45,3
32,relu,0.2,8,relu,0.1,0.45,0.6093418259023354,0.6643626095652686,0.7528089887640449,0.5759162303664922,0.2925764192139738,0.9090909090909091,0.42138364779874216,0.6890964559692825,134,324,440,44,3
64,tanh,0.3,16,relu,0.1,0.4,0.6602972399150743,0.689312606623919,0.7359550561797753,0.6426701570680629,0.32425742574257427,0.912639405204461,0.45017182130584193,0.685456803224884,131,273,491,47,3
32,tanh,0.3,16,relu,0.1,0.4,0.6252653927813163,0.6698702864874404,0.7415730337078652,0.5981675392670157,0.30068337129840544,0.9085487077534792,0.42787682333873583,0.6831435180228344,132,307,457,46,3
64,tanh,0.3,8,tanh,0.1,0.4,0.6411889596602972,0.6775325019118772,0.7359550561797753,0.6191099476439791,0.3104265402843602,0.9096153846153846,0.43666666666666665,0.6817176937366541,131,291,473,47,3
64,relu,0.3,16,relu,0.0,0.4,0.6815286624203821,0.6980925348549915,0.7247191011235955,0.6714659685863874,0.3394736842105263,0.9128113879003559,0.46236559139784944,0.6808692461785677,129,251,513,49,3
32,relu,0.2,8,tanh,0.0,0.4,0.673036093418259,0.6928569327607506,0.7247191011235955,0.6609947643979057,0.3324742268041237,0.9115523465703971,0.4558303886925795,0.6791221800190793,129,259,505,49,3
64,relu,0.3,8,tanh,0.0,0.4,0.6709129511677282,0.6915480322371904,0.7247191011235955,0.6583769633507853,0.33076923076923076,0.9112318840579711,0.45422535211267606,0.678689900310878,129,261,503,49,3
32,relu,0.2,16,tanh,0.1,0.4,0.6815286624203821,0.6959379963527266,0.7191011235955056,0.6727748691099477,0.3386243386243386,0.9113475177304965,0.460431654676259,0.676420819649833,128,250,514,50,3
64,tanh,0.3,8,relu,0.0,0.4,0.6592356687898089,0.6843490793576092,0.7247191011235955,0.643979057591623,0.32169576059850374,0.9094269870609981,0.44559585492227977,0.6763427627178891,129,272,492,49,3
64,tanh,0.2,16,relu,0.1,0.4,0.6560509554140127,0.682385728572269,0.7247191011235955,0.6400523560209425,0.3193069306930693,0.9089219330855018,0.44329896907216493,0.6757112095702775,129,275,489,49,3
