outcome,fold_id,model_label,threshold,n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,epochs_ran,positive_class_weight
victimization,21,pruned_decision_tree_inner_alpha,0.5,18,0.9506358692884502,3013,754,0.49419183538001993,0.493368700265252,254,153,229,118,0.6827956989247311,0.599476439790576,0.6240786240786241,0.659942363112392,0.6411360693576535,0.6521181001283697,0.6405835543766578,0.6837457073692506,0.6385653668786889,372,382,754,0.004479056566476577,,,
victimization,22,pruned_decision_tree_inner_alpha,0.5,18,0.9510684484800797,3013,754,0.4938599402588782,0.4946949602122016,223,138,243,150,0.5978552278820375,0.6377952755905512,0.6177285318559557,0.6183206106870229,0.6178252517362943,0.6076294277929156,0.6180371352785146,0.6487935656836461,0.6296364579928658,373,381,754,0.0013130642079937453,,,
victimization,23,pruned_decision_tree_inner_alpha,0.5,18,0.9501711356653691,3014,753,0.4940278699402787,0.4940239043824701,243,154,227,129,0.6532258064516129,0.5958005249343832,0.6120906801007556,0.6376404494382022,0.6245131656929981,0.6319895968790636,0.6241699867197875,0.6944620833686113,0.6719381947677062,372,381,753,0.0030057824478191904,,,
victimization,24,pruned_decision_tree_inner_alpha,0.5,18,0.9502603757525141,3014,753,0.4940278699402787,0.4940239043824701,272,147,234,100,0.7311827956989247,0.6141732283464567,0.649164677804296,0.7005988023952096,0.6726780120226907,0.6877370417193427,0.6719787516600265,0.6968398103462873,0.6541809171572411,372,381,753,0.004532351069701203,,,
victimization,25,pruned_decision_tree_inner_alpha,0.5,18,0.9502234438602528,3014,753,0.4940278699402787,0.4940239043824701,243,172,209,129,0.6532258064516129,0.5485564304461942,0.5855421686746988,0.6183431952662722,0.6008911184489035,0.6175349428208387,0.600265604249668,0.6410126153585642,0.6201342514613362,372,381,753,0.0031340195143168396,,,
perpetration,1,compact_dnn_class_weighted,0.5,18,0.9507782148350868,3013,754,0.23498174576833722,0.23474801061007958,126,179,398,51,0.711864406779661,0.6897746967071057,0.4131147540983607,0.8864142538975501,0.7008195517433833,0.5228215767634854,0.6949602122015915,0.7415621419968863,0.4755573304120612,177,577,754,,3.255649717514124,21.0,
perpetration,2,compact_dnn_class_weighted,0.5,18,0.9502477608428821,3013,754,0.23498174576833722,0.23474801061007958,120,398,179,57,0.6779661016949152,0.31022530329289427,0.23166023166023167,0.7584745762711864,0.4940957024939048,0.34532374100719426,0.39655172413793105,0.5154265683596235,0.2726315378190625,177,577,754,,3.255649717514124,13.0,
perpetration,3,compact_dnn_class_weighted,0.5,18,0.9503988282105147,3014,753,0.23490378234903783,0.2350597609561753,100,222,354,77,0.5649717514124294,0.6145833333333334,0.3105590062111801,0.8213457076566125,0.5897775423728814,0.4008016032064127,0.602921646746348,0.6252157878217202,0.34542083700235965,177,576,753,,3.2570621468926553,13.0,
perpetration,4,compact_dnn_class_weighted,0.5,18,0.9505127004888838,3014,753,0.23490378234903783,0.2350597609561753,101,184,392,76,0.5706214689265536,0.6805555555555556,0.3543859649122807,0.8376068376068376,0.6255885122410546,0.43722943722943725,0.6547144754316069,0.6780641870684244,0.42047658021054857,177,576,753,,3.2570621468926553,17.0,
perpetration,5,compact_dnn_class_weighted,0.5,18,0.9503471327824723,3014,753,0.23490378234903783,0.2350597609561753,90,162,414,87,0.5084745762711864,0.71875,0.35714285714285715,0.8263473053892215,0.6136122881355932,0.4195804195804196,0.6693227091633466,0.6756316698053986,0.4341776144465775,177,576,753,,3.2570621468926553,15.0,
perpetration,6,compact_dnn_class_weighted,0.5,18,0.9500105073471938,3013,754,0.23498174576833722,0.23474801061007958,106,212,365,71,0.5988700564971752,0.6325823223570191,0.3333333333333333,0.8371559633027523,0.6157261894270971,0.4282828282828283,0.6246684350132626,0.6806196085343047,0.3871483629090613,177,577,754,,3.255649717514124,17.0,
perpetration,7,compact_dnn_class_weighted,0.5,18,0.9505815464805709,3013,754,0.23498174576833722,0.23474801061007958,97,211,366,80,0.5480225988700564,0.634315424610052,0.31493506493506496,0.820627802690583,0.5911690117400542,0.4,0.6140583554376657,0.6318087908429535,0.3448903187682654,177,577,754,,3.255649717514124,13.0,
perpetration,8,compact_dnn_class_weighted,0.5,18,0.9511379474084707,3014,753,0.23490378234903783,0.2350597609561753,100,297,279,77,0.5649717514124294,0.484375,0.2518891687657431,0.7837078651685393,0.5246733757062148,0.34843205574912894,0.5033200531208499,0.5429123509102323,0.28565759748491587,177,576,753,,3.2570621468926553,13.0,
perpetration,9,compact_dnn_class_weighted,0.5,18,0.950570288475814,3014,753,0.23490378234903783,0.2350597609561753,113,182,394,64,0.6384180790960452,0.6840277777777778,0.38305084745762713,0.8602620087336245,0.6612229284369116,0.47881355932203395,0.6733067729083665,0.7088237602008789,0.44091842319124824,177,576,753,,3.2570621468926553,18.0,
perpetration,10,compact_dnn_class_weighted,0.5,18,0.9502479106622018,3014,753,0.23490378234903783,0.2350597609561753,132,333,243,45,0.7457627118644068,0.421875,0.2838709677419355,0.84375,0.5838188559322034,0.411214953271028,0.49800796812749004,0.6484424042686755,0.37382981322655684,177,576,753,,3.2570621468926553,13.0,
perpetration,11,compact_dnn_class_weighted,0.5,18,0.9511337168881198,3013,754,0.23498174576833722,0.23474801061007958,120,212,365,57,0.6779661016949152,0.6325823223570191,0.3614457831325301,0.8649289099526066,0.6552742120259671,0.4715127701375245,0.6432360742705571,0.7255040194264116,0.48258317105253135,177,577,754,,3.255649717514124,28.0,
perpetration,12,compact_dnn_class_weighted,0.5,18,0.9500013500180994,3013,754,0.23498174576833722,0.23474801061007958,131,300,277,46,0.7401129943502824,0.4800693240901213,0.3039443155452436,0.8575851393188855,0.6100911592202019,0.43092105263157887,0.5411140583554377,0.6552937951022727,0.3637917661882738,177,577,754,,3.255649717514124,13.0,
perpetration,13,compact_dnn_class_weighted,0.5,18,0.9505863045608254,3014,753,0.23490378234903783,0.2350597609561753,102,281,295,75,0.576271186440678,0.5121527777777778,0.26631853785900783,0.7972972972972973,0.5442119821092279,0.36428571428571427,0.5272244355909694,0.5893361581920904,0.30588508485070404,177,576,753,,3.2570621468926553,14.0,
