outcome,fold_id,ccp_alpha,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support
victimization,1,0.0009060885765094417,196,119,186,102,0.6577181208053692,0.6098360655737705,0.6222222222222222,0.6458333333333334,0.6337770931895699,0.6394779771615008,0.6334991708126037,0.6148201122235669,0.5660098591572903,298,305,603
victimization,1,0.0009504314777031961,197,121,184,101,0.6610738255033557,0.6032786885245902,0.6194968553459119,0.6456140350877193,0.632176257013973,0.6396103896103896,0.6318407960199005,0.6285014853119155,0.5836532402930159,298,305,603
victimization,1,0.0009857992427932394,196,119,186,102,0.6577181208053692,0.6098360655737705,0.6222222222222222,0.6458333333333334,0.6337770931895699,0.6394779771615008,0.6334991708126037,0.6320497304433932,0.5893319940793124,298,305,603
victimization,1,0.0010087545550055512,198,120,185,100,0.6644295302013423,0.6065573770491803,0.6226415094339622,0.6491228070175439,0.6354934536252613,0.6428571428571429,0.6351575456053068,0.6424909230938498,0.603473731914249,298,305,603
victimization,1,0.0010369667660716857,192,117,188,106,0.6442953020134228,0.6163934426229508,0.6213592233009708,0.6394557823129252,0.6303443723181867,0.6326194398682042,0.6301824212271974,0.6401364286500164,0.6024211763213823,298,305,603
victimization,1,0.0010643544603554172,189,116,189,109,0.6342281879194631,0.6196721311475409,0.6196721311475409,0.6342281879194631,0.6269501595335021,0.626865671641791,0.6268656716417911,0.6455330619430081,0.6073456614837299,298,305,603
victimization,1,0.0010850479114963335,190,120,185,108,0.6375838926174496,0.6065573770491803,0.6129032258064516,0.6313993174061433,0.6220706348333149,0.625,0.6218905472636815,0.6390306964462537,0.6041663886702101,298,305,603
victimization,1,0.0011030583673607086,188,116,189,110,0.6308724832214765,0.6196721311475409,0.618421052631579,0.6321070234113713,0.6252723071845088,0.6245847176079735,0.6252072968490879,0.6406810430190341,0.606622751692879,298,305,603
victimization,1,0.0011203319502074687,187,117,188,111,0.62751677852349,0.6163934426229508,0.6151315789473685,0.6287625418060201,0.6219551105732204,0.6212624584717609,0.6218905472636815,0.6473814501045221,0.6154231379563005,298,305,603
victimization,1,0.0011480489407672508,187,119,186,111,0.62751677852349,0.6098360655737705,0.6111111111111112,0.6262626262626263,0.6186764220486303,0.619205298013245,0.6185737976782753,0.6455220596325228,0.619119486115467,298,305,603
victimization,1,0.001174932699491361,186,116,189,112,0.6241610738255033,0.6196721311475409,0.6158940397350994,0.627906976744186,0.6219166024865221,0.6200000000000001,0.6218905472636815,0.6450599625921444,0.6156949119498285,298,305,603
victimization,1,0.0011948939782432397,185,116,189,113,0.6208053691275168,0.6196721311475409,0.6146179401993356,0.6258278145695364,0.6202387501375288,0.6176961602671118,0.6202321724709784,0.6451754868522389,0.6139159036852475,298,305,603
victimization,1,0.001231500430955936,185,115,190,113,0.6208053691275168,0.6229508196721312,0.6166666666666667,0.6270627062706271,0.621878094399824,0.6187290969899666,0.6218905472636815,0.6477500275057763,0.6190224734364388,298,305,603
victimization,1,0.0012477628536034112,186,117,188,112,0.6241610738255033,0.6163934426229508,0.6138613861386139,0.6266666666666667,0.6202772582242271,0.6189683860232945,0.6202321724709784,0.6425184288700626,0.6036814824748852,298,305,603
victimization,1,0.001273100693941089,184,114,191,114,0.6174496644295302,0.6262295081967213,0.6174496644295302,0.6262295081967213,0.6218395863131257,0.6174496644295302,0.6218905472636815,0.6468368357355045,0.6085735680151638,298,305,603
victimization,1,0.0013224011785743842,190,117,188,108,0.6375838926174496,0.6163934426229508,0.6188925081433225,0.6351351351351351,0.6269886676202002,0.6280991735537189,0.6268656716417911,0.6513862911211356,0.6168040651159363,298,305,603
victimization,1,0.0013732291051634805,194,124,181,104,0.6510067114093959,0.5934426229508196,0.610062893081761,0.6350877192982456,0.6222246671801077,0.6298701298701298,0.6218905472636815,0.6498679722741777,0.6155339302412433,298,305,603
victimization,1,0.001416433793434386,184,120,185,114,0.6174496644295302,0.6065573770491803,0.6052631578947368,0.6187290969899666,0.6120035207393553,0.6112956810631229,0.6119402985074627,0.6438992188359556,0.6119155423135535,298,305,603
victimization,1,0.0014376927355877415,188,121,184,110,0.6308724832214765,0.6032786885245902,0.6084142394822006,0.6258503401360545,0.6170755858730333,0.6194398682042833,0.6169154228855721,0.6459456485862031,0.6064544050185441,298,305,603
victimization,1,0.0015533386928085877,193,124,181,105,0.6476510067114094,0.5934426229508196,0.6088328075709779,0.6328671328671329,0.6205468148311145,0.6276422764227643,0.6202321724709784,0.6453075145780613,0.6078821669062642,298,305,603
victimization,1,0.0016253699109995152,188,110,195,110,0.6308724832214765,0.639344262295082,0.6308724832214765,0.639344262295082,0.6351083727582792,0.6308724832214765,0.6351575456053068,0.6560457696116185,0.6276914562263654,298,305,603
victimization,1,0.0016730106031707277,196,127,178,102,0.6577181208053692,0.5836065573770491,0.6068111455108359,0.6357142857142857,0.6206623390912092,0.6312399355877617,0.6202321724709784,0.6549785454945539,0.6321609767086209,298,305,603
victimization,1,0.0018128181209789308,202,130,175,96,0.6778523489932886,0.5737704918032787,0.608433734939759,0.6457564575645757,0.6258114203982836,0.6412698412698413,0.6252072968490879,0.6649521399493894,0.6448374055662487,298,305,603
victimization,1,0.0019164592086184692,193,114,191,105,0.6476510067114094,0.6262295081967213,0.6286644951140065,0.6452702702702703,0.6369402574540654,0.6380165289256199,0.6368159203980099,0.6667730223346903,0.6443261570964857,298,305,603
victimization,1,0.00211729673356393,205,115,190,93,0.6879194630872483,0.6229508196721312,0.640625,0.6713780918727915,0.6554351413796897,0.6634304207119741,0.6550580431177446,0.7014358015183189,0.6942565698349228,298,305,603
victimization,1,0.0024407792411682153,205,119,186,93,0.6879194630872483,0.6098360655737705,0.6327160493827161,0.6666666666666666,0.6488777643305094,0.6591639871382636,0.648424543946932,0.6912421608537792,0.6794180021771528,298,305,603
victimization,1,0.002814741402301754,185,98,207,113,0.6208053691275168,0.6786885245901639,0.6537102473498233,0.646875,0.6497469468588404,0.6368330464716007,0.6500829187396352,0.6909285950049512,0.6770671614850885,298,305,603
victimization,1,0.0038799281755952843,176,92,213,122,0.5906040268456376,0.6983606557377049,0.6567164179104478,0.6358208955223881,0.6444823412916713,0.6219081272084805,0.6451077943615257,0.6529706238310045,0.6190140949355588,298,305,603
victimization,1,0.02172673358285976,0,0,305,298,0.0,1.0,,0.5058043117744611,0.5,,0.5058043117744611,0.5,0.494195688225539,298,305,603
victimization,2,0.0,163,120,185,135,0.5469798657718121,0.6065573770491803,0.5759717314487632,0.578125,0.5767686214104962,0.5611015490533563,0.5771144278606966,0.5767686214104962,0.5389255373711281,298,305,603
