outcome,model_name,predictor,predictor_domain,features,repeat,random_state,n_test,threshold,baseline_balanced_accuracy,permuted_balanced_accuracy,delta_balanced_accuracy,delta_balanced_accuracy_pp,baseline_roc_auc,permuted_roc_auc,delta_roc_auc,delta_roc_auc_pp,baseline_pr_auc_average_precision,permuted_pr_auc_average_precision,delta_pr_auc_average_precision,delta_pr_auc_average_precision_pp,baseline_recall_sensitivity,permuted_recall_sensitivity,delta_recall_sensitivity,delta_recall_sensitivity_pp,baseline_specificity,permuted_specificity,delta_specificity,delta_specificity_pp,baseline_precision_ppv,permuted_precision_ppv,delta_precision_ppv,delta_precision_ppv_pp,baseline_npv,permuted_npv,delta_npv,delta_npv_pp,baseline_f1_positive,permuted_f1_positive,delta_f1_positive,delta_f1_positive_pp,baseline_accuracy,permuted_accuracy,delta_accuracy,delta_accuracy_pp
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,27,304149,942,0.523164,0.6721645390905348,0.6497220424730866,0.022442496617448127,2.2442496617448127,0.7536252132478382,0.7197188069886464,0.033906406259191724,3.3906406259191724,0.4335309108027502,0.3554567074780355,0.07807420332471471,7.807420332471471,0.8089887640449438,0.8033707865168539,0.005617977528089901,0.5617977528089901,0.5353403141361257,0.49607329842931935,0.03926701570680635,3.926701570680635,0.28857715430861725,0.2708333333333333,0.01774382097528393,1.774382097528393,0.9232505643340858,0.9154589371980676,0.00779162713601822,0.779162713601822,0.4254062038404727,0.40509915014164305,0.020307053698829625,2.0307053698829627,0.5870488322717622,0.554140127388535,0.03290870488322717,3.290870488322717
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,28,304150,942,0.523164,0.6721645390905348,0.6460674157303371,0.02609712336019765,2.609712336019765,0.7536252132478382,0.7222998411671274,0.031325372080710734,3.1325372080710734,0.4335309108027502,0.3816852128580675,0.05184569794468269,5.184569794468269,0.8089887640449438,0.7921348314606742,0.016853932584269593,1.6853932584269593,0.5353403141361257,0.5,0.035340314136125706,3.5340314136125706,0.28857715430861725,0.2695984703632887,0.018978683945328534,1.8978683945328534,0.9232505643340858,0.9116945107398569,0.011556053594228954,1.1556053594228954,0.4254062038404727,0.40228245363766046,0.02312375020281221,2.312375020281221,0.5870488322717622,0.5552016985138004,0.031847133757961776,3.1847133757961776
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,29,304151,942,0.523164,0.6721645390905348,0.6610388846402729,0.011125654450261813,1.1125654450261813,0.7536252132478382,0.7277854579681159,0.025839755279722265,2.5839755279722265,0.4335309108027502,0.3490847745423235,0.08444613626042669,8.444613626042669,0.8089887640449438,0.8089887640449438,0.0,0.0,0.5353403141361257,0.5130890052356021,0.022251308900523625,2.2251308900523625,0.28857715430861725,0.27906976744186046,0.009507386866756784,0.9507386866756784,0.9232505643340858,0.92018779342723,0.003062770906855805,0.3062770906855805,0.4254062038404727,0.414985590778098,0.010420613062374684,1.0420613062374684,0.5870488322717622,0.5690021231422505,0.018046709129511673,1.8046709129511673
overlap,LogisticRegression,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,304152,942,0.523164,0.6721645390905348,0.6608476969233484,0.011316842167186314,1.1316842167186314,0.7536252132478382,0.7289252308959351,0.02469998235190307,2.469998235190307,0.4335309108027502,0.38288666978883545,0.05064424101391474,5.064424101391474,0.8089887640449438,0.8033707865168539,0.005617977528089901,0.5617977528089901,0.5353403141361257,0.518324607329843,0.017015706806282727,1.7015706806282727,0.28857715430861725,0.27984344422700586,0.00873371008161139,0.873371008161139,0.9232505643340858,0.9187935034802784,0.004457060853807371,0.4457060853807371,0.4254062038404727,0.41509433962264153,0.010311864217831146,1.0311864217831146,0.5870488322717622,0.5721868365180467,0.014861995753715496,1.4861995753715496
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,1,305123,942,0.523164,0.6721645390905348,0.6771280663568445,-0.004963527266309775,-0.4963527266309775,0.7536252132478382,0.7460585916818637,0.00756662156597443,0.756662156597443,0.4335309108027502,0.4264821759553664,0.007048734847383775,0.7048734847383775,0.8089887640449438,0.8202247191011236,-0.011235955056179803,-1.1235955056179803,0.5353403141361257,0.5340314136125655,0.0013089005235602524,0.13089005235602524,0.28857715430861725,0.2908366533864542,-0.0022594990778369572,-0.22594990778369572,0.9232505643340858,0.9272727272727272,-0.004022162938641438,-0.4022162938641438,0.4254062038404727,0.4294117647058823,-0.004005560865409652,-0.4005560865409652,0.5870488322717622,0.5881104033970276,-0.0010615711252653925,-0.10615711252653925
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,2,305124,942,0.523164,0.6721645390905348,0.6722748396964527,-0.00011030060591799007,-0.011030060591799007,0.7536252132478382,0.7397935172657216,0.013831695982116532,1.3831695982116532,0.4335309108027502,0.3997010426476629,0.03382986815508732,3.3829868155087315,0.8089887640449438,0.8314606741573034,-0.022471910112359605,-2.2471910112359605,0.5353403141361257,0.5130890052356021,0.022251308900523625,2.2251308900523625,0.28857715430861725,0.2846153846153846,0.003961769693232642,0.3961769693232642,0.9232505643340858,0.9289099526066351,-0.005659388272549304,-0.5659388272549304,0.4254062038404727,0.42406876790830944,0.0013374359321632334,0.13374359321632334,0.5870488322717622,0.5732484076433121,0.013800424628450103,1.3800424628450103
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,3,305125,942,0.523164,0.6721645390905348,0.6764736160950644,-0.004309077004529649,-0.4309077004529649,0.7536252132478382,0.7282413671392434,0.025383846108594788,2.5383846108594788,0.4335309108027502,0.3901204586179048,0.043410452184845405,4.34104521848454,0.8089887640449438,0.8202247191011236,-0.011235955056179803,-1.1235955056179803,0.5353403141361257,0.5327225130890052,0.002617801047120505,0.2617801047120505,0.28857715430861725,0.29025844930417494,-0.0016812949955576917,-0.16812949955576917,0.9232505643340858,0.9271070615034168,-0.003856497169331008,-0.3856497169331008,0.4254062038404727,0.4287812041116006,-0.003375000271127915,-0.3375000271127915,0.5870488322717622,0.5870488322717622,0.0,0.0
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,4,305126,942,0.523164,0.6721645390905348,0.6712380140008236,0.0009265250897111388,0.09265250897111388,0.7536252132478382,0.7257118065768575,0.027913406670980634,2.7913406670980634,0.4335309108027502,0.3871841661383367,0.046346744664413464,4.634674466441346,0.8089887640449438,0.8202247191011236,-0.011235955056179803,-1.1235955056179803,0.5353403141361257,0.5222513089005235,0.013089005235602191,1.3089005235602191,0.28857715430861725,0.2857142857142857,0.002862868594331547,0.2862868594331547,0.9232505643340858,0.925754060324826,-0.002503495990740179,-0.2503495990740179,0.4254062038404727,0.42380261248185774,0.0016035913586149309,0.16035913586149309,0.5870488322717622,0.578556263269639,0.00849256900212314,0.849256900212314
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,5,305127,942,0.523164,0.6721645390905348,0.654766456850403,0.01739808224013173,1.739808224013173,0.7536252132478382,0.7363962586034473,0.017228954644390893,1.7228954644390893,0.4335309108027502,0.40181207565867016,0.031718835144080026,3.1718835144080026,0.8089887640449438,0.797752808988764,0.011235955056179803,1.1235955056179803,0.5353403141361257,0.5117801047120419,0.023560209424083767,2.3560209424083767,0.28857715430861725,0.2757281553398058,0.01284899896881142,1.284899896881142,0.9232505643340858,0.9156908665105387,0.007559697823547151,0.7559697823547151,0.4254062038404727,0.4098124098124098,0.01559379402806288,1.559379402806288,0.5870488322717622,0.5658174097664543,0.02123142250530785,2.123142250530785
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,6,305128,942,0.523164,0.6721645390905348,0.6612300723571976,0.0109344667333372,1.09344667333372,0.7536252132478382,0.7208438731690099,0.03278134007882827,3.278134007882827,0.4335309108027502,0.4018836164493173,0.03164729435343289,3.164729435343289,0.8089887640449438,0.8146067415730337,-0.005617977528089901,-0.5617977528089901,0.5353403141361257,0.5078534031413613,0.027486910994764413,2.7486910994764413,0.28857715430861725,0.2783109404990403,0.01026621380957693,1.026621380957693,0.9232505643340858,0.9216152019002375,0.0016353624338483197,0.16353624338483197,0.4254062038404727,0.41487839771101576,0.010527806129456918,1.0527806129456918,0.5870488322717622,0.5658174097664543,0.02123142250530785,2.123142250530785
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,7,305129,942,0.523164,0.6721645390905348,0.6671201247132184,0.005044414377316397,0.5044414377316397,0.7536252132478382,0.7342784869698218,0.01934672627801637,1.9346726278016368,0.4335309108027502,0.4104889976227312,0.02304191318001897,2.304191318001897,0.8089887640449438,0.8146067415730337,-0.005617977528089901,-0.5617977528089901,0.5353403141361257,0.5196335078534031,0.015706806282722585,1.5706806282722585,0.28857715430861725,0.283203125,0.005374029308617245,0.5374029308617245,0.9232505643340858,0.9232558139534883,-5.249619402514227e-06,-0.0005249619402514227,0.4254062038404727,0.42028985507246375,0.005116348768008927,0.5116348768008927,0.5870488322717622,0.5753715498938429,0.011677282377919318,1.1677282377919318
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,8,305130,942,0.523164,0.6721645390905348,0.6651567739278781,0.007007765162656665,0.7007765162656665,0.7536252132478382,0.737572798399906,0.016052414847932184,1.6052414847932184,0.4335309108027502,0.41135631982728227,0.022174590975467923,2.2174590975467923,0.8089887640449438,0.8146067415730337,-0.005617977528089901,-0.5617977528089901,0.5353403141361257,0.5157068062827225,0.01963350785340323,1.9633507853403231,0.28857715430861725,0.2815533980582524,0.007023756250364832,0.7023756250364832,0.9232505643340858,0.9227166276346604,0.0005339366994253636,0.05339366994253636,0.4254062038404727,0.4184704184704185,0.006935785370054182,0.6935785370054182,0.5870488322717622,0.5721868365180467,0.014861995753715496,1.4861995753715496
overlap,LogisticRegression,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,9,305131,942,0.523164,0.6721645390905348,0.6722748396964527,-0.00011030060591799007,-0.011030060591799007,0.7536252132478382,0.7376683922583681,0.015956820989470044,1.5956820989470044,0.4335309108027502,0.4055987141912115,0.027932196611538673,2.7932196611538673,0.8089887640449438,0.8314606741573034,-0.022471910112359605,-2.2471910112359605,0.5353403141361257,0.5130890052356021,0.022251308900523625,2.2251308900523625,0.28857715430861725,0.2846153846153846,0.003961769693232642,0.3961769693232642,0.9232505643340858,0.9289099526066351,-0.005659388272549304,-0.5659388272549304,0.4254062038404727,0.42406876790830944,0.0013374359321632334,0.13374359321632334,0.5870488322717622,0.5732484076433121,0.013800424628450103,1.3800424628450103
