threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.354,0.39278131634819535,0.6041090652391317,0.23013698630136986,0.9438202247191011,0.2643979057591623,0.9528301886792453,0.3700440528634361,168,562,202,10,942
0.355,0.39490445859872614,0.6054179657626919,0.23076923076923078,0.9438202247191011,0.2670157068062827,0.9532710280373832,0.37086092715231794,168,560,204,10,942
0.356,0.3970276008492569,0.6067268662862522,0.23140495867768596,0.9438202247191011,0.2696335078534031,0.9537037037037037,0.3716814159292035,168,558,206,10,942
0.357,0.3970276008492569,0.6067268662862522,0.23140495867768596,0.9438202247191011,0.2696335078534031,0.9537037037037037,0.3716814159292035,168,558,206,10,942
0.358,0.4002123142250531,0.6086902170715924,0.23236514522821577,0.9438202247191011,0.27356020942408377,0.954337899543379,0.3729189789123197,168,555,209,10,942
0.359,0.4023354564755839,0.6099991175951527,0.23300970873786409,0.9438202247191011,0.2761780104712042,0.9547511312217195,0.37374860956618466,168,553,211,10,942
0.36,0.4023354564755839,0.6099991175951527,0.23300970873786409,0.9438202247191011,0.2761780104712042,0.9547511312217195,0.37374860956618466,168,553,211,10,942
0.361,0.40658174097664546,0.6126169186422731,0.23430962343096234,0.9438202247191011,0.281413612565445,0.9555555555555556,0.3754189944134078,168,549,215,10,942
0.362,0.40764331210191085,0.6132713689040532,0.2346368715083799,0.9438202247191011,0.28272251308900526,0.9557522123893806,0.37583892617449666,168,548,216,10,942
0.363,0.40764331210191085,0.6068077533972587,0.2323943661971831,0.9269662921348315,0.28664921465968585,0.9439655172413793,0.3716216216216216,165,545,219,13,942
0.364,0.40870488322717624,0.6074622036590388,0.23272214386459802,0.9269662921348315,0.2879581151832461,0.944206008583691,0.3720405862457723,165,544,220,13,942
0.365,0.410828025477707,0.6087711041825989,0.2333804809052334,0.9269662921348315,0.2905759162303665,0.9446808510638298,0.3728813559322034,165,542,222,13,942
0.366,0.4129511677282378,0.6100800047061592,0.23404255319148937,0.9269662921348315,0.2931937172774869,0.9451476793248945,0.3737259343148358,165,540,224,13,942
0.367,0.4140127388535032,0.6107344549679393,0.234375,0.9269662921348315,0.29450261780104714,0.9453781512605042,0.37414965986394555,165,539,225,13,942
0.368,0.4150743099787686,0.6113889052297194,0.23470839260312945,0.9269662921348315,0.29581151832460734,0.9456066945606695,0.37457434733257666,165,538,226,13,942
0.369,0.4171974522292994,0.6126978057532796,0.23537803138373753,0.9269662921348315,0.29842931937172773,0.946058091286307,0.3754266211604096,165,536,228,13,942
0.37,0.4171974522292994,0.6126978057532796,0.23537803138373753,0.9269662921348315,0.29842931937172773,0.946058091286307,0.3754266211604096,165,536,228,13,942
0.371,0.41932059447983017,0.6140067062768398,0.23605150214592274,0.9269662921348315,0.3010471204188482,0.9465020576131687,0.37628278221208666,165,534,230,13,942
0.372,0.41932059447983017,0.6140067062768398,0.23605150214592274,0.9269662921348315,0.3010471204188482,0.9465020576131687,0.37628278221208666,165,534,230,13,942
0.373,0.42144373673036095,0.6153156068004,0.23672883787661406,0.9269662921348315,0.3036649214659686,0.9469387755102041,0.3771428571428571,165,532,232,13,942
0.374,0.42250530785562634,0.6159700570621801,0.23706896551724138,0.9269662921348315,0.30497382198952877,0.9471544715447154,0.37757437070938216,165,531,233,13,942
0.375,0.42356687898089174,0.6166245073239602,0.23741007194244604,0.9269662921348315,0.306282722513089,0.9473684210526315,0.37800687285223367,165,530,234,13,942
0.376,0.4267515923566879,0.6185878581093005,0.2384393063583815,0.9269662921348315,0.3102094240837696,0.948,0.37931034482758624,165,527,237,13,942
0.377,0.4288747346072187,0.6198967586328608,0.2391304347826087,0.9269662921348315,0.31282722513089006,0.9484126984126984,0.38018433179723504,165,525,239,13,942
0.378,0.4288747346072187,0.6198967586328608,0.2391304347826087,0.9269662921348315,0.31282722513089006,0.9484126984126984,0.38018433179723504,165,525,239,13,942
0.379,0.4320594479830149,0.6197055709159363,0.23941605839416058,0.9213483146067416,0.3180628272251309,0.9455252918287937,0.38006952491309387,164,521,243,14,942
0.38,0.43418259023354566,0.6210144714394965,0.24011713030746706,0.9213483146067416,0.3206806282722513,0.9459459459459459,0.38095238095238093,164,519,245,14,942
0.381,0.43630573248407645,0.6223233719630566,0.24082232011747431,0.9213483146067416,0.32329842931937175,0.946360153256705,0.3818393480791618,164,517,247,14,942
0.382,0.43736730360934184,0.6229778222248368,0.2411764705882353,0.9213483146067416,0.32460732984293195,0.9465648854961832,0.3822843822843823,164,516,248,14,942
0.383,0.4394904458598726,0.6221321842461321,0.2411242603550296,0.9157303370786517,0.3285340314136126,0.943609022556391,0.3817330210772834,163,513,251,15,942
0.384,0.440552016985138,0.6227866345079123,0.2414814814814815,0.9157303370786517,0.3298429319371728,0.9438202247191011,0.3821805392731536,163,512,252,15,942
0.385,0.4426751592356688,0.6240955350314724,0.24219910846953938,0.9157303370786517,0.3324607329842932,0.9442379182156134,0.38307873090481787,163,510,254,15,942
0.386,0.4437367303609342,0.6247499852932525,0.2425595238095238,0.9157303370786517,0.3337696335078534,0.9444444444444444,0.3835294117647059,163,509,255,15,942
0.387,0.4447983014861996,0.6254044355550327,0.2429210134128167,0.9157303370786517,0.33507853403141363,0.9446494464944649,0.3839811542991755,163,508,256,15,942
0.388,0.445859872611465,0.6260588858168128,0.24328358208955222,0.9157303370786517,0.33638743455497383,0.9448529411764706,0.38443396226415094,163,507,257,15,942
0.389,0.4469214437367304,0.6267133360785928,0.2436472346786248,0.9157303370786517,0.337696335078534,0.945054945054945,0.38488783943329397,163,506,258,15,942
0.39,0.45010615711252655,0.6286766868639332,0.24474474474474475,0.9157303370786517,0.3416230366492147,0.9456521739130435,0.38625592417061616,163,503,261,15,942
