outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
overlap,0.49,0.18895966029723993,-0.2274051871279297,-0.5902751758877649,0.0,0.3628699887598352,-0.2274051871279297,-1.2034589116545493
overlap,0.5,0.18895966029723993,-0.2239915074309979,-0.6220806794055203,0.0,0.3980891719745223,-0.2239915074309979,-1.1853932584269664
overlap,0.51,0.18895966029723993,-0.2193552580267776,-0.6551843667403268,0.0,0.4358291087135492,-0.2193552580267776,-1.1608576014675533
overlap,0.52,0.18895966029723993,-0.2147912243453645,-0.6896673743807504,0.0,0.47487615003538597,-0.2147912243453645,-1.1367041198501873
overlap,0.53,0.18895966029723993,-0.21382752857207396,-0.7256177440484259,0.0,0.511790215476352,-0.21382752857207396,-1.131604111881425
overlap,0.54,0.18895966029723993,-0.21951444659835692,-0.76313117326687,0.0,0.543616726668513,-0.21951444659835692,-1.1617000488519786
overlap,0.55,0.18895966029723993,-0.22576079263977364,-0.8023118660061339,0.0,0.5765510733663602,-0.22576079263977364,-1.1947565543071166
overlap,0.56,0.18895966029723993,-0.22698320787492768,-0.8432734993244551,0.0,0.6162902914495274,-0.22698320787492768,-1.2012257405515834
overlap,0.57,0.18895966029723993,-0.22720090850738153,-0.8861403248901396,0.0,0.6589394163827581,-0.22720090850738153,-1.2023778416514235
overlap,0.58,0.18895966029723993,-0.210999898897988,-0.9310484278637143,0.0,0.7200485289657264,-0.210999898897988,-1.116639914392723
overlap,0.59,0.18895966029723993,-0.2117446015224483,-0.9781471700067319,0.0,0.7664025684842836,-0.2117446015224483,-1.1205809810907095
overlap,0.6,0.18895966029723993,-0.21019108280254775,-1.0276008492569002,0.0,0.8174097664543525,-0.21019108280254775,-1.1123595505617976
overlap,0.61,0.18895966029723993,-0.20621699602591323,-1.0795906146224619,0.0,0.8733736185965486,-0.20621699602591323,-1.0913281475079228
overlap,0.62,0.18895966029723993,-0.20488322717622084,-1.134316683428316,0.0,0.9294334562520952,-0.20488322717622084,-1.0842696629213484
overlap,0.63,0.18895966029723993,-0.2022149538073105,-1.1920009181155677,0.0,0.9897859643082573,-0.2022149538073105,-1.070148800485879
overlap,0.64,0.18895966029723993,-0.20464732248171738,-1.2528898325076672,0.0,1.0482425100259498,-0.20464732248171738,-1.0830212234706615
overlap,0.65,0.18895966029723993,-0.2036700030330604,-1.3172581134364578,0.0,1.1135881104033973,-0.2036700030330604,-1.07784911717496
overlap,0.66,0.18895966029723993,-0.19039590358436367,-1.3854127638316476,0.0,1.195016860247284,-0.19039590358436367,-1.0076007931262392
overlap,0.67,0.18895966029723993,-0.1988354886444059,-1.4576979990992736,0.0,1.2588625104548676,-0.1988354886444059,-1.0522642151855637
overlap,0.68,0.18895966029723993,-0.2015658174097665,-1.5345010615711256,0.0,1.3329352441613591,-0.2015658174097665,-1.0667134831460676
overlap,0.69,0.18895966029723993,-0.2050202040956098,-1.6162591603314838,0.0,1.411238956235874,-0.2050202040956098,-1.084994563247553
overlap,0.7,0.18895966029723993,-0.2080679405520169,-1.7034677990092002,0.0,1.4953998584571833,-0.2080679405520169,-1.1011235955056176
overlap,0.71,0.18895966029723993,-0.21893989311076942,-1.7966908265612416,0.0,1.5777509334504722,-0.21893989311076942,-1.1586594343277796
