model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,accuracy,tp,fp,tn,fn,auc_pr,auc_roc
NeuralNetwork_current,0.25,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.3,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.35,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.4,1.0,0.2346072186836518,0.0,,0.38005159071367156,0.5,0.2346072186836518,221,721,0,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.45,1.0,0.23737916219119226,0.015256588072122053,1.0,0.3836805555555556,0.507628294036061,0.24628450106157113,221,710,11,0,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.5,0.9004524886877828,0.2948148148148148,0.33980582524271846,0.9176029962546817,0.44419642857142855,0.6201291569652506,0.4713375796178344,199,476,245,22,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.55,0.5113122171945701,0.4124087591240876,0.7766990291262136,0.8383233532934131,0.45656565656565656,0.6440056231603919,0.7144373673036093,113,161,560,108,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.6,0.167420814479638,0.49333333333333335,0.9472954230235784,0.7877739331026529,0.25,0.5573581187516082,0.7643312101910829,37,38,683,184,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.65,0.01809954751131222,0.5714285714285714,0.9958391123439667,0.7679144385026738,0.03508771929824561,0.5069693299276394,0.7664543524416136,4,3,718,217,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.7,0.0,0.0,1.0,0.7653927813163482,0.0,0.5,0.7653927813163482,0,0,721,221,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.75,0.0,0.0,1.0,0.7653927813163482,0.0,0.5,0.7653927813163482,0,0,721,221,0.38956937074700776,0.6999705035113373
NeuralNetwork_current,0.8,0.0,0.0,1.0,0.7653927813163482,0.0,0.5,0.7653927813163482,0,0,721,221,0.38956937074700776,0.6999705035113373
