TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support
191,509,220,22,0.8967136150234741,0.3017832647462277,0.27285714285714285,0.9090909090909091,0.5992484398848509,0.41840087623220157,0.43630573248407645,942,213,729
210,509,210,13,0.9417040358744395,0.29207232267037553,0.29207232267037553,0.9417040358744395,0.6168881792724075,0.44585987261146504,0.445859872611465,942,223,719
190,525,213,14,0.9313725490196079,0.2886178861788618,0.26573426573426573,0.9383259911894273,0.6099952175992348,0.4134929270946682,0.4278131634819533,942,204,738
196,513,217,16,0.9245283018867925,0.29726027397260274,0.2764456981664316,0.9313304721030042,0.6108942879296976,0.4256243213897938,0.43842887473460723,942,212,730
210,518,191,23,0.9012875536480687,0.2693935119887165,0.28846153846153844,0.8925233644859814,0.5853405328183926,0.43704474505723206,0.4256900212314225,942,233,709
207,520,196,19,0.915929203539823,0.2737430167597765,0.28473177441540576,0.9116279069767442,0.5948361101497998,0.43441762854144805,0.4278131634819533,942,226,716
205,487,225,25,0.8913043478260869,0.3160112359550562,0.29624277456647397,0.9,0.6036577918905716,0.44468546637744033,0.4564755838641189,942,230,712
196,501,225,20,0.9074074074074074,0.30991735537190085,0.2812051649928264,0.9183673469387755,0.6086623813896541,0.42935377875136904,0.4469214437367304,942,216,726
179,519,225,19,0.9040404040404041,0.3024193548387097,0.25644699140401145,0.9221311475409836,0.6032298794395569,0.3995535714285714,0.4288747346072187,942,198,744
225,488,205,24,0.9036144578313253,0.2958152958152958,0.3155680224403927,0.8951965065502183,0.5997148768233106,0.4677754677754678,0.4564755838641189,942,249,693
224,507,204,7,0.9696969696969697,0.2869198312236287,0.3064295485636115,0.966824644549763,0.6283084004602992,0.4656964656964657,0.4543524416135881,942,231,711
210,477,228,27,0.8860759493670886,0.32340425531914896,0.3056768558951965,0.8941176470588236,0.6047401023431187,0.4545454545454546,0.46496815286624205,942,237,705
192,520,215,15,0.927536231884058,0.2925170068027211,0.2696629213483146,0.9347826086956522,0.6100266193433895,0.4178454842219804,0.4320594479830149,942,207,735
190,516,218,18,0.9134615384615384,0.2970027247956403,0.26912181303116145,0.923728813559322,0.6052321316285894,0.4157549234135667,0.43312101910828027,942,208,734
