idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1487,0,0,0.3253056739576282,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.5,2.0,1.0,3.7142857142857144,4.0,0.2040816326530612,4.2,0.96,1.0,0,1,0,0,1,0
1488,1,1,0.8589903813554558,1,0.0,16.0,0.0,2,3,1.0,0.0,1.0,0.0,0.0,0,4.0,0.0,2.375,2.0,0.234375,3.7142857142857144,4.0,0.2040816326530612,4.4,0.24,2.0,1,0,0,1,0,0
1497,0,1,0.8653455106974675,2,1.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,1.8400000000000003,2.25,2.5,0.6875,3.4777154294292147,3.344008006004503,0.2172653267988601,4.4,0.6399999999999999,1.0,0,1,0,0,0,1
1501,0,1,0.7481212949474505,2,1.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.625,3.0,0.234375,2.857142857142857,3.0,0.4081632653061224,2.4,2.24,1.0,1,0,0,0,0,1
1504,0,0,0.4089299900690438,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.8,0.96,2.5,2.5,0.25,3.0,3.0,0.5714285714285714,2.8,0.1599999999999999,4.0,1,0,0,1,0,0
1507,0,1,0.73374545492365,1,0.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.625,3.0,0.234375,3.142857142857143,3.0,0.4081632653061224,4.2,0.5599999999999999,1.0,1,0,0,1,0,0
1508,1,1,0.7674655192701451,1,0.0,14.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0,2.6,0.64,2.75,3.0,0.1875,2.857142857142857,3.0,0.4081632653061224,3.4,0.24,1.0,1,0,0,1,0,0
1509,0,0,0.3762769224404166,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.5599999999999999,2.875,2.5,0.859375,3.857142857142857,4.0,0.1224489795918367,3.4,1.04,1.0,0,1,0,1,0,0
1511,0,0,0.2518238809429142,2,1.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.6,0.24,2.125,2.0,1.359375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,4.0,1,0,0,0,0,1
1512,0,0,0.2812209774621413,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.6,0.24,2.375,2.0,0.234375,3.4285714285714284,3.0,0.2448979591836734,3.8,0.1599999999999999,1.0,1,0,0,1,0,0
