idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1329,1,1,0.509393451422437,1,1.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,4.0,0.0,2.0,2.0,1.0,3.5714285714285716,4.0,1.1020408163265307,5.0,0.0,4.0,1,0,0,1,0,0
684,0,1,0.509393451422437,1,0.0,17.0,1.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.5,2.5,0.25,3.2857142857142856,3.0,0.489795918367347,3.4,0.64,2.0,1,0,0,1,0,0
1997,1,0,0.2979397781299525,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.75,3.5,1.9375,3.857142857142857,4.0,0.1224489795918367,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
247,1,1,0.509393451422437,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.5,2.5,0.25,3.142857142857143,3.0,0.4081632653061224,4.0,0.8,2.0,0,1,0,1,0,0
393,0,0,0.2979397781299525,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.3342335583895975,0.9783811694358948,2.25,2.5,1.1875,2.2857142857142856,1.0,2.2040816326530615,4.6,0.6399999999999999,1.0,1,0,0,1,0,0
1310,1,1,0.7824773413897281,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.0,1.5,1.5,3.64326878333393,4.0,0.4794752418571905,5.0,0.0,1.0,1,0,0,1,0,0
2444,1,1,0.509393451422437,1,1.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0,2.5,2.5,0.25,3.0,3.0,0.8571428571428571,4.4,0.24,2.0,0,1,0,1,0,0
990,1,1,0.509393451422437,2,0.0,17.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,2.6,0.24,2.625,3.0,0.484375,2.7142857142857144,3.0,0.2040816326530612,4.0,0.4,1.0,1,0,0,1,0,0
642,1,1,0.509393451422437,2,1.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,3.25,3.5,0.6875,3.857142857142857,4.0,0.1224489795918367,5.0,0.0,4.0,1,0,0,1,0,0
2523,0,0,0.2979397781299525,1,1.0,16.0,1.0,2,0,1.0,0.0,1.0,0.0,0.0,0,3.2,0.5599999999999999,2.125,2.0,1.109375,2.7142857142857144,3.0,1.6326530612244898,3.6,0.64,3.0,0,0,1,0,1,0
1320,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,1.625,1.5,0.484375,3.4285714285714284,4.0,1.1020408163265307,4.6,0.6399999999999999,1.0,1,0,0,1,0,0
3539,0,1,0.509393451422437,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.4,1.04,2.25,2.0,0.4375,3.2857142857142856,4.0,1.3469387755102038,4.4,1.44,1.0,0,1,0,0,1,0
2436,1,1,0.7824773413897281,1,0.0,15.0,0.0,3,0,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.5,2.5,1.25,4.0,4.0,0.0,5.0,0.0,1.0,0,1,0,1,0,0
702,1,1,0.509393451422437,2,0.0,15.0,0.0,4,3,1.0,0.0,0.0,0.0,0.0,0,3.8,0.1599999999999999,2.5,2.0,0.5,3.2857142857142856,4.0,1.3469387755102038,3.0,1.2,5.0,1,0,0,1,0,0
2693,1,1,0.509393451422437,1,1.0,17.0,0.0,4,1,0.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.5,2.0,1.0,3.7142857142857144,4.0,0.2040816326530612,4.8,0.1599999999999999,3.0,0,1,0,1,0,0
3213,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.0,0.4,2.3501628664495113,2.0,0.5073210325839,3.857142857142857,4.0,0.1224489795918367,4.2,0.1599999999999999,1.0,1,0,0,1,0,0
1852,1,1,0.509393451422437,1,1.0,17.0,0.0,3,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.625,3.0,0.234375,2.857142857142857,4.0,1.836734693877551,4.2,0.1599999999999999,5.0,1,0,0,1,0,0
1894,1,1,0.509393451422437,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.2,1.36,2.125,2.0,1.109375,4.0,4.0,0.0,4.2,0.96,1.0,1,0,0,0,1,0
1926,0,1,0.509393451422437,1,1.0,16.0,0.0,2,0,0.0,0.0,0.0,1.0,0.0,0,3.0,0.4,2.5,2.5,1.25,3.7142857142857144,4.0,0.489795918367347,3.6,0.24,1.0,0,1,0,1,0,0
837,1,1,0.509393451422437,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.5,2.5,1.75,2.857142857142857,3.0,0.1224489795918367,4.6,0.6399999999999999,2.0,0,1,0,0,1,0
3396,0,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.375,2.5,0.484375,4.0,4.0,0.0,4.8,0.1599999999999999,2.0,0,1,0,1,0,0
