PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
-0.57967436,-0.8296007,-1.3237234,0.56558484,0.15335134,-0.4842268,0.600961,0.12692389,-0.43800852,-0.21254246,0.16192842,-0.47258374,-0.14975259,-0.2807074,0.2506839,0.09144688,0.40710843,-0.114348225,0.5043014,0.030471915,-0.0019058327,0.018979972
0.6286781,-0.16259451,0.64359635,1.1039563,-0.05316291,-0.040270556,-0.71606827,0.022209674,-0.32474974,-0.057491884,0.14501023,-0.18033174,0.29629886,-0.34591857,-0.1483596,0.012746063,-0.12244202,0.27740148,0.1971794,0.11885766,0.03748287,0.06646026
-0.66543293,0.59834033,-0.04196844,0.06376959,-0.4208192,-0.3557306,0.3032426,0.009859103,-0.1605752,-0.19565724,-0.0029109023,0.2629753,-0.05366618,-0.09282944,-0.11892365,0.014587724,0.26343277,0.048990943,-0.13421784,0.07518567,-0.040110502,0.12234897
0.68661904,0.6218071,0.12404395,-0.17006718,0.2607747,0.011351215,-0.22587204,0.03397892,-0.044975106,-0.068575665,-0.027744042,0.07869153,-0.017911067,-0.038415395,-0.21698311,-0.24330828,-0.17194894,0.08653949,-0.024167463,0.055824805,-0.0006538169,-0.074636616
0.6975409,0.6707462,0.15530975,-0.13886082,0.016151352,-0.12199762,-0.2661866,0.0630269,-0.119572744,-0.12851286,-0.09925669,-0.2503252,0.031712383,0.043194167,-0.07928015,0.117907375,-0.09246944,-0.13087137,-0.24190558,0.17175339,-0.014338044,0.0011045495
0.5833217,0.6119198,0.047524888,-0.041942693,-0.04917683,-0.16028284,0.20662645,0.18592773,0.18247177,0.45828906,0.1648536,-0.18181606,0.062085647,-0.062049717,-0.045734644,-0.14282721,-0.4449829,0.03493263,-0.12666734,-0.23411746,-0.023223698,0.10970755
0.71448857,0.42915872,0.12000653,0.14854789,0.10686072,-0.30390382,0.44211465,-0.022341255,0.12042983,0.37094703,-0.28305757,0.5117613,0.3764296,0.5231336,0.44886765,-0.078717135,-0.17229174,0.34147573,0.3202427,-0.06449495,-0.23207144,-0.029435262
-0.8024952,-0.54270506,0.43067825,-0.32542473,-0.2646594,-0.73344743,-0.03387843,0.287486,-0.22074546,0.23578992,0.27471745,-0.121260844,-0.090814345,-0.09423692,0.03262831,0.20167445,-0.1736425,-0.19095631,-0.25002512,0.13655387,-0.026447924,0.3273465
-0.6895313,-0.16713734,0.31906262,-0.2510821,-0.74919885,0.06549671,-0.028447071,-0.16177456,-0.19142401,-0.35013038,0.045110013,0.061629936,0.86948144,-0.25270173,-0.19276075,0.013452814,-0.23690572,-0.007431478,0.10582291,-0.005918552,-0.013055131,0.17692512
-0.7855449,0.5074272,-0.18923181,-0.17245866,0.39401668,0.08402953,-0.3760869,-0.12763779,-0.06765477,-0.1228751,-0.08028646,-0.020415515,-0.0042997967,0.021021886,-0.062084436,0.06688917,0.12137651,-0.0065708063,-0.1071871,0.037884682,0.030758753,-0.18453999
0.671962,0.13868237,0.36298898,0.11295364,0.47477046,-0.61928904,-0.5648356,-0.13025953,-0.29269662,-0.23616011,0.0024939983,-0.3965125,-0.12557873,-0.12533732,-0.24098636,0.0038816829,0.015297346,0.29039964,0.14065696,0.13662429,0.0011025167,0.14600167
0.70572406,0.59355336,0.21206155,0.073219284,-0.28101328,-0.34563568,0.15169808,0.39216787,0.7004837,-0.39375713,0.33607158,-0.09869621,0.019106468,0.2271245,-0.05610566,0.17194709,-0.20252834,0.026716946,0.1231551,0.09133372,0.038181517,-0.14415446
0.711506,-0.21573526,0.20592721,0.28345838,1.0188353,-0.13939202,0.4316447,0.11439536,-0.42594466,-0.27507633,0.14277242,-0.024754724,-0.1349848,-0.18447556,0.16342907,0.2874682,0.020631488,0.35545757,-0.1603553,0.05540877,0.07181959,-0.10164009
0.63253313,0.69426113,0.2218426,-0.009769371,-0.30066293,-0.25923705,0.13112195,0.3189423,-0.06639216,0.073074915,0.069907695,0.051792968,-0.06978682,-0.19053133,0.0037851352,-0.28338638,0.4499808,0.08007168,-0.11959246,0.12275662,0.0304746,-0.013652032
0.6997443,-0.9154525,0.4471609,-0.33440468,0.90936977,0.20051098,0.29281828,-0.10181324,-0.47451004,-0.33621553,0.11981397,-0.05217035,-0.039299276,-0.022380283,0.0678271,0.49168932,0.15615693,-0.14828499,0.28227013,-0.060629513,0.037618894,-0.037002474
0.67866397,0.68752944,0.18479645,-0.015511829,-0.29776153,-0.2680694,0.17892778,0.19851857,-0.047910478,0.09059293,0.059454307,-0.010171743,0.0013882187,-0.0661657,-0.027700538,0.1379464,0.12111272,0.15905474,-0.13423696,0.11462378,-0.0093540205,-0.018436406
0.7211864,0.44374895,0.11155635,0.123343624,-0.03584223,-0.12819958,0.22033672,-0.05346684,0.79343253,-0.43805182,0.32312015,-0.022799632,0.039877396,0.24807726,0.3598171,0.20407939,-0.13178991,0.1814386,-0.25243255,-0.25394103,0.081569865,-0.10174147
-0.9710451,-0.39757392,-0.022544367,-0.38800177,-0.05242899,0.40152135,0.86924034,0.14367282,-0.13588539,0.054212146,0.09957748,-0.62476873,0.07770584,0.02498465,0.117353454,-0.29919323,0.045576252,0.23750627,0.10251228,0.09584726,-0.05890605,0.18839562
-0.82931817,0.5052206,-0.13274463,-0.1567313,0.3953905,0.09816628,-0.27784327,0.19567145,-0.045225378,0.034768768,0.054178007,0.36573535,-0.10244632,-0.15993617,0.23901801,-0.14548038,0.6578832,-0.19583216,-0.19727267,0.090414405,-0.013639079,-0.049446825
