seed,pos_weight_multiplier,u1,a1,d1,u2,a2,d2,threshold,recall_0,recall_1,specificity,precision_ppv,npv,f1_positive,accuracy,balanced_accuracy,TP,FP,TN,FN,epochs_ran,tier,epochs_fit_total,base_pos_weight,effective_pos_weight
4392,3.5,64,linear,0.3,4,relu,0.05,0.5,0.21359223300970873,0.8914027149321267,0.21359223300970873,0.25785340314136124,0.8651685393258427,0.4,0.37261146496815284,0.5524974739709178,197,567,154,24,1,2,7,3.2545180722891565,11.390813253012048
4442,4.0,64,linear,0.3,4,relu,0.05,0.5,0.19972260748959778,0.9230769230769231,0.19972260748959778,0.2612035851472471,0.8944099378881988,0.40718562874251496,0.36942675159235666,0.5613997652832604,204,577,144,17,2,1,7,3.2545180722891565,13.018072289156626
5142,1.0,64,relu,0.3,16,relu,0.0,0.5,0.6893203883495146,0.6108597285067874,0.6893203883495146,0.37604456824512533,0.8524871355060034,0.46551724137931033,0.6709129511677282,0.650090058428151,135,224,497,86,8,0,14,3.2545180722891565,3.2545180722891565
5192,1.5,64,relu,0.3,16,relu,0.0,0.5,0.29403606102635227,0.8823529411764706,0.29403606102635227,0.27698863636363635,0.8907563025210085,0.42162162162162165,0.4320594479830149,0.5881945011014114,195,509,212,26,7,2,7,3.2545180722891565,4.8817771084337345
5242,2.0,64,relu,0.3,16,relu,0.0,0.5,0.17753120665742025,0.9638009049773756,0.17753120665742025,0.2642679900744417,0.9411764705882353,0.4148003894839338,0.3619957537154989,0.5706660558173979,213,593,128,8,7,1,7,3.2545180722891565,6.509036144578313
5292,2.5,64,relu,0.3,16,relu,0.0,0.5,0.08599167822468794,0.9864253393665159,0.08599167822468794,0.24857468643101482,0.9538461538461539,0.3970856102003643,0.29723991507430997,0.5362085087956019,218,659,62,3,7,1,7,3.2545180722891565,8.136295180722891
5342,3.0,64,relu,0.3,16,relu,0.0,0.5,0.0,1.0,0.0,0.2346072186836518,,0.38005159071367156,0.2346072186836518,0.5,221,721,0,0,1,1,7,3.2545180722891565,9.763554216867469
5392,3.5,64,relu,0.3,16,relu,0.0,0.5,0.013869625520110958,1.0,0.013869625520110958,0.2371244635193133,1.0,0.383347788378144,0.24522292993630573,0.5069348127600555,221,711,10,0,7,1,7,3.2545180722891565,11.390813253012048
5442,4.0,64,relu,0.3,16,relu,0.0,0.5,0.0,1.0,0.0,0.2346072186836518,,0.38005159071367156,0.2346072186836518,0.5,221,721,0,0,1,1,7,3.2545180722891565,13.018072289156626
6142,1.0,64,relu,0.3,16,linear,0.05,0.5,0.6934812760055479,0.6199095022624435,0.6934812760055479,0.38268156424581007,0.8561643835616438,0.47322970639032813,0.6762208067940552,0.6566953891339957,137,221,500,84,18,0,24,3.2545180722891565,3.2545180722891565
6192,1.5,64,relu,0.3,16,linear,0.05,0.5,0.30097087378640774,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.43581445523193096,0.4447983014861996,0.6074990115538373,202,504,217,19,4,3,27,3.2545180722891565,4.8817771084337345
