u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,TP,FP,TN,FN
64,relu,0.3,16,tanh,0.0,0.3,0.39490445859872614,0.603263427260427,0.9382022471910112,0.2683246073298429,0.23002754820936638,0.9490740740740741,0.3694690265486726,167,559,205,11
64,relu,0.3,16,tanh,0.0,0.35,0.47983014861995754,0.6470012941937762,0.9157303370786517,0.3782722513089005,0.2554858934169279,0.9506578947368421,0.39950980392156865,163,475,289,15
64,relu,0.3,16,tanh,0.0,0.4,0.5414012738853503,0.6504867933407847,0.8258426966292135,0.47513089005235604,0.26824817518248173,0.9213197969543148,0.4049586776859504,147,401,363,31
64,relu,0.3,16,tanh,0.0,0.5,0.6762208067940552,0.6883566680392964,0.7078651685393258,0.668848167539267,0.3324538258575198,0.9076376554174067,0.4524236983842011,126,253,511,52
64,relu,0.3,16,sigmoid,0.1,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.35,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.4,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.1,0.5,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.35,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.4,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.05,0.5,0.40764331210191085,0.5787987528678158,0.8539325842696629,0.3036649214659686,0.2222222222222222,0.8992248062015504,0.35266821345707655,152,532,232,26
64,relu,0.3,16,sigmoid,0.0,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.0,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.0,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.0,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,16,sigmoid,0.0,0.35,0.19002123142250532,0.5006544502617801,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.31814119749776587,178,763,1,0
64,relu,0.3,16,sigmoid,0.0,0.4,0.28662420382165604,0.55590034707924,0.9887640449438202,0.12303664921465969,0.20803782505910165,0.9791666666666666,0.34375,176,670,94,2
64,relu,0.3,16,sigmoid,0.0,0.5,0.648619957537155,0.6734954997352784,0.7134831460674157,0.6335078534031413,0.31203931203931207,0.9046728971962616,0.4341880341880342,127,280,484,51
64,relu,0.3,8,relu,0.1,0.15,0.26857749469214437,0.5490837696335078,1.0,0.09816753926701571,0.20530565167243367,1.0,0.3406698564593301,178,689,75,0
64,relu,0.3,8,relu,0.1,0.2,0.33014861995753714,0.574114653803165,0.9662921348314607,0.18193717277486912,0.21580928481806774,0.9586206896551724,0.3528205128205128,172,625,139,6
64,relu,0.3,8,relu,0.1,0.25,0.40552016985138006,0.6141170068827578,0.949438202247191,0.2787958115183246,0.23472222222222222,0.9594594594594594,0.37639198218262804,169,551,213,9
64,relu,0.3,8,relu,0.1,0.3,0.4564755838641189,0.6347579269368786,0.9213483146067416,0.3481675392670157,0.24773413897280966,0.95,0.3904761904761905,164,498,266,14
