,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN_H,CONVIVEN_0,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO.BN0,ORIENTSEX.BN0,GENERO.BN1,ORIENTSEX.BN1
572,True,False,15.0,False,3,3,1.0,0.0,0.0,0.0,False,False,2.8,0.96,2.125,2.0,1.109375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,2.0,False,False,True,True
573,True,False,15.0,True,4,4,1.0,1.0,0.0,0.0,True,False,1.6,0.24,2.25,2.0,1.4375,3.142857142857143,4.0,1.2653061224489797,4.4,0.6399999999999999,3.0,False,True,True,False
574,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.64,2.75,3.0,0.6875,3.7142857142857144,4.0,0.489795918367347,3.8,0.5599999999999999,4.0,True,True,False,False
575,True,False,17.0,False,4,4,1.0,1.0,0.0,0.0,True,False,3.8,0.1599999999999999,2.25,2.5,0.6875,3.0718402119053585,3.5028814833375095,1.1738232391367838,4.2,0.5599999999999999,4.0,True,True,False,False
576,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.6,0.24,2.625,3.0,1.984375,4.0,4.0,0.0,4.6,0.6399999999999999,2.0,True,True,False,False
577,True,False,16.0,True,4,4,1.0,0.0,0.0,0.0,False,False,3.0,0.0,2.125,2.0,0.859375,2.857142857142857,3.0,0.1224489795918367,1.8,1.3600000000000003,4.0,True,True,False,False
578,True,True,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.2,0.5599999999999999,2.25,2.0,0.9375,2.857142857142857,3.0,1.2653061224489797,5.0,0.0,1.0,False,False,True,True
579,True,False,16.0,False,2,0,0.0,0.0,0.0,0.0,False,True,2.8,0.96,2.375,3.0,0.734375,3.857142857142857,4.0,0.1224489795918367,4.0,0.8,1.0,False,False,True,True
580,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,False,False,3.0,0.0,1.875,2.0,0.359375,3.2857142857142856,3.0,0.2040816326530612,3.4,0.24,2.0,True,True,False,False
581,True,True,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.8,0.5599999999999999,2.625,3.0,0.734375,3.2857142857142856,4.0,0.7755102040816327,4.6,0.24,4.0,True,True,False,False
582,True,False,16.0,False,2,2,1.0,0.0,0.0,0.0,False,False,2.0,0.4,3.0,3.5,1.25,1.8571428571428572,2.0,0.6938775510204082,4.4,0.64,1.0,False,False,True,True
583,True,False,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.0,0.0,2.25,2.5,1.1875,4.0,4.0,0.0,4.8,0.1599999999999999,2.0,True,True,False,False
584,True,False,15.0,False,2,0,1.0,1.0,0.0,0.0,False,False,2.4,0.24,2.75,3.0,1.4375,3.4285714285714284,3.0,0.2448979591836734,4.6,0.6399999999999999,1.0,False,False,True,True
585,True,False,16.0,False,2,2,1.0,1.0,0.0,0.0,True,False,3.6,0.24,2.625,2.5,0.484375,3.4285714285714284,3.0,0.2448979591836734,3.6,0.24,1.0,True,True,False,False
586,True,False,17.0,False,4,3,1.0,1.0,0.0,0.0,True,False,3.0,0.4,2.625,3.0,0.734375,2.4285714285714284,2.0,0.816326530612245,3.6,0.64,4.0,True,True,False,False
587,True,False,17.0,False,4,2,1.0,1.0,0.0,0.0,True,False,2.6,0.64,2.75,2.5,0.6875,3.7142857142857144,4.0,0.2040816326530612,3.6,2.24,2.0,False,True,True,False
588,True,True,17.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.914327144842929,0.0340170511477578,2.875,3.0,0.359375,3.857142857142857,4.0,0.1224489795918367,3.6,1.04,2.0,False,True,True,False
589,True,False,15.0,False,2,2,1.0,1.0,0.0,0.0,False,False,3.6,0.24,2.875,3.0,0.609375,3.857142857142857,4.0,0.1224489795918367,4.2,0.1599999999999999,2.0,True,True,False,False
590,True,False,16.0,False,2,0,1.0,1.0,1.0,0.0,False,False,2.8,0.5599999999999999,2.5,3.0,1.0,3.5714285714285716,4.0,0.5306122448979592,4.0,0.8,4.0,False,True,True,False
591,True,False,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.25,2.5,1.1875,3.5714285714285716,4.0,0.2448979591836734,4.8,0.1599999999999999,2.0,True,True,False,False
592,True,False,16.0,False,3,3,1.0,0.0,0.0,0.0,False,False,2.2,0.5599999999999999,2.125,2.0,0.859375,2.7142857142857144,3.0,1.6326530612244896,4.0,0.4,5.0,True,True,False,False
593,True,False,15.0,False,0,1,1.0,1.0,0.0,0.0,True,False,2.6,0.24,2.5,2.0,0.5,3.0,3.0,0.2857142857142857,3.4,0.64,5.0,True,True,False,False
594,True,False,17.0,False,3,2,1.0,1.0,0.0,0.0,False,False,3.8,0.1599999999999999,2.5,3.0,0.5,3.5714285714285716,4.0,0.2448979591836734,3.0,0.0,2.0,True,True,False,False
595,True,False,16.0,False,2,2,1.0,1.0,0.0,0.0,True,False,2.8,0.1599999999999999,2.25,2.0,0.9375,3.7142857142857144,4.0,0.2040816326530612,2.8,0.5599999999999999,4.0,True,True,False,False
596,True,False,16.0,False,3,2,1.0,1.0,0.0,0.0,True,False,3.4,0.24,2.5,2.5,0.25,1.4285714285714286,1.0,1.1020408163265305,3.4,0.24,4.0,True,True,False,False
597,True,False,16.0,False,4,4,1.0,1.0,0.0,0.0,True,False,3.6,0.24,2.625,2.0,0.734375,3.857142857142857,4.0,0.1224489795918367,3.6,0.64,2.0,True,True,False,False
598,True,False,16.0,True,3,3,1.0,1.0,1.0,0.0,False,False,3.6,0.24,1.75,2.0,0.4375,3.7142857142857144,4.0,0.2040816326530612,3.8,0.1599999999999999,1.0,True,True,False,False
599,True,False,16.0,False,2,0,1.0,1.0,0.0,0.0,False,False,3.6,0.24,2.25,2.5,0.6875,3.7142857142857144,4.0,0.2040816326530612,3.4,1.84,3.0,True,True,False,False
600,True,True,16.0,False,0,1,1.0,1.0,0.0,0.0,True,False,3.2,0.5599999999999999,2.25,2.0,0.4375,3.142857142857143,3.0,0.6938775510204082,3.6,0.24,4.0,True,False,False,True
601,True,False,16.0,False,3,3,1.0,1.0,0.0,0.0,True,False,2.6,0.24,2.75,3.0,0.4375,3.142857142857143,3.0,0.6938775510204082,3.2,1.7600000000000002,2.0,True,True,False,False
602,False,False,16.0,False,0,1,1.0,0.0,1.0,0.0,True,False,3.2,0.1599999999999999,2.625,3.0,0.234375,3.2857142857142856,3.0,0.489795918367347,4.0,0.4,3.0,True,True,False,False
