,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
976,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.5,2.5,0.75,3.2857142857142856,3.0,0.489795918367347,4.2,0.5599999999999999,2.0,1,0,0,1,0,0
977,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,5.0,0.0,5.0,1,0,0,1,0,0
978,2,1.0,14.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0,3.4,1.44,2.0,2.0,1.0,3.142857142857143,4.0,1.8367346938775508,5.0,0.0,5.0,1,0,0,1,0,0
979,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.5,2.5,1.25,3.7142857142857144,4.0,0.489795918367347,4.0,2.4,1.0,1,0,0,1,0,0
980,1,0.0,15.0,1.0,0,1,1.0,1.0,0.0,0.0,0.0,0,1.6,0.24,2.125,2.0,1.109375,4.0,4.0,0.0,4.6,0.24,2.0,0,1,0,1,0,0
981,1,0.0,14.0,1.0,2,0,0.0,0.0,0.0,0.0,0.0,1,3.6,0.24,1.75,1.5,0.9375,3.5714285714285716,4.0,1.1020408163265307,4.0,0.8,4.0,1,0,0,1,0,0
982,2,1.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1,2.8,0.1599999999999999,2.125,2.0,1.109375,3.7142857142857144,4.0,0.2040816326530612,4.6,0.6399999999999999,1.0,0,1,0,0,0,1
983,1,0.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.4,0.24,2.875,3.0,0.109375,3.7142857142857144,4.0,0.2040816326530612,4.4,0.24,1.0,1,0,0,1,0,0
984,1,0.0,16.0,0.0,2,2,0.0,0.0,1.0,1.0,1.0,0,2.4,0.24,2.375,2.0,0.734375,2.857142857142857,3.0,0.4081632653061224,3.0,0.4,1.0,1,0,0,1,0,0
985,1,0.0,16.0,0.0,3,2,1.0,1.0,1.0,1.0,1.0,0,3.4,0.24,1.625,1.0,0.734375,2.857142857142857,3.0,0.4081632653061225,4.0,0.0,2.0,1,0,0,1,0,0
986,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.375,2.0,0.734375,3.142857142857143,3.0,0.4081632653061224,3.0,0.4,5.0,1,0,0,1,0,0
987,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.914327144842929,0.0340170511477578,2.3991018454906787,2.4144439655172416,0.1341968291381966,3.261904393338928,3.344008006004503,0.1709657741508746,2.2572001001753064,1.5790077664713646,3.0,1,0,0,1,0,0
988,1,0.0,16.0,0.0,5,4,1.0,1.0,0.0,0.0,1.0,1,3.6,0.64,2.75,2.5,0.6875,3.5714285714285716,4.0,0.2448979591836734,3.4,1.84,4.0,1,0,0,1,0,0
989,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.375,2.0,1.234375,2.857142857142857,3.0,1.2653061224489797,3.2,1.36,5.0,1,0,0,1,0,0
990,2,0.0,17.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,2.6,0.24,2.625,3.0,0.484375,2.7142857142857144,3.0,0.2040816326530612,4.0,0.4,1.0,1,0,0,1,0,0
991,1,0.0,15.0,1.0,4,3,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.375,2.0,0.234375,3.4285714285714284,4.0,0.5306122448979592,3.4,0.24,4.0,1,0,0,1,0,0
992,1,0.0,17.0,0.0,4,3,1.0,1.0,0.0,0.0,1.0,0,3.1342335583895973,0.2036074760125391,2.375,2.0,0.234375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,2.0,1,0,0,1,0,0
993,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.019218710810133,2.0,0.2525855119164246,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,1.0,1,0,0,1,0,0
994,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.96,2.125,2.0,0.609375,3.511449290894152,4.0,0.5007865175718735,4.499152495033673,0.4042260836972594,3.0,1,0,0,1,0,0
995,1,0.0,17.0,0.0,4,4,1.0,0.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.375,2.0,0.234375,4.0,4.0,0.0,3.8,0.5599999999999999,3.0,1,0,0,1,0,0
996,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.519218710810133,2.5768748432405317,0.7333668011062916,3.0,4.0,1.4285714285714286,4.2,1.36,5.0,1,0,0,1,0,0
