outcome,fold_id,model_label,selected_threshold,target_recall,threshold_status,n_components,target_n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,tune_class_weight_positive,epochs_ran,tune_epochs_ran,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support,positive_class_weight,tune_positive_class_weight
perpetration,3,compact_dnn_screening_threshold_fold_internal,0.359,0.9,target_met,22,22,0.9908011395588233,3014,753,0.23490378234903783,0.2350597609561753,143,336,240,34,0.807909604519774,0.4166666666666667,0.2985386221294363,0.8759124087591241,0.6122881355932204,0.43597560975609756,0.5086321381142098,0.6807419177652229,0.39524322159500547,177,576,753,,3.2570621468926553,3.2597173144876326,37.0,37.0,128.0,262.0,199.0,14.0,0.9014084507042254,0.4316702819956616,0.3282051282051282,0.9342723004694836,0.6665393663499435,0.4812030075187969,0.5422885572139303,0.7406434267208457,0.4972222718009206,142.0,461.0,603.0,,
perpetration,4,compact_dnn_screening_threshold_fold_internal,0.487,0.9,target_met,22,22,0.9908441880647233,3014,753,0.23490378234903783,0.2350597609561753,117,212,364,60,0.6610169491525424,0.6319444444444444,0.3556231003039514,0.8584905660377359,0.6464806967984934,0.4624505928853755,0.6387782204515272,0.7053319209039548,0.4214739889175778,177,576,753,,3.2570621468926553,3.2597173144876326,43.0,17.0,128.0,319.0,142.0,14.0,0.9014084507042254,0.3080260303687636,0.28635346756152125,0.9102564102564102,0.6047172405364944,0.434634974533107,0.44776119402985076,0.6875286425712627,0.40735109674965336,142.0,461.0,603.0,,
perpetration,5,compact_dnn_screening_threshold_fold_internal,0.47700000000000004,0.9,target_met,22,22,0.9908261065429819,3014,753,0.23490378234903783,0.2350597609561753,121,205,371,56,0.6836158192090396,0.6440972222222222,0.37116564417177916,0.8688524590163934,0.6638565207156308,0.4811133200795229,0.6533864541832669,0.710226381042059,0.44643157664753297,177,576,753,,3.2570621468926553,3.2597173144876326,36.0,16.0,128.0,406.0,55.0,14.0,0.9014084507042254,0.1193058568329718,0.2397003745318352,0.7971014492753623,0.5103571537685986,0.378698224852071,0.3034825870646766,0.5733708105465767,0.2925388839932513,142.0,461.0,603.0,,
perpetration,6,compact_dnn_screening_threshold_fold_internal,0.468,0.9,target_met,22,22,0.9908460761637429,3013,754,0.23498174576833722,0.23474801061007958,151,422,155,26,0.8531073446327684,0.268630849220104,0.26352530541012215,0.856353591160221,0.5608690969264362,0.4026666666666667,0.40583554376657827,0.6405624259514927,0.3643907529804707,177,577,754,,3.255649717514124,3.2579505300353353,16.0,16.0,140.0,440.0,21.0,2.0,0.9859154929577465,0.0455531453362256,0.2413793103448276,0.9130434782608695,0.5157343191469861,0.3878116343490305,0.2669983416252073,0.5621963887446152,0.30033081351705526,142.0,461.0,603.0,,
perpetration,7,compact_dnn_screening_threshold_fold_internal,0.484,0.9,target_met,22,22,0.9908874378336405,3013,754,0.23498174576833722,0.23474801061007958,121,197,380,56,0.6836158192090396,0.658578856152513,0.3805031446540881,0.8715596330275229,0.6710973376807763,0.4888888888888889,0.6644562334217506,0.7289016831654084,0.4622076062290844,177,577,754,,3.255649717514124,3.2579505300353353,28.0,17.0,132.0,399.0,62.0,10.0,0.9295774647887324,0.13449023861171366,0.24858757062146894,0.8611111111111112,0.532033851700223,0.3922734026745914,0.32172470978441126,0.6105526870550854,0.3569841766618717,142.0,461.0,603.0,,
perpetration,8,compact_dnn_screening_threshold_fold_internal,0.463,0.9,target_met,22,22,0.9911145535474791,3014,753,0.23490378234903783,0.2350597609561753,135,311,265,42,0.7627118644067796,0.4600694444444444,0.30269058295964124,0.8631921824104235,0.611390654425612,0.43338683788121984,0.5312084993359893,0.6659506434400503,0.3932789856914202,177,576,753,,3.2570621468926553,3.2597173144876326,18.0,19.0,128.0,329.0,132.0,14.0,0.9014084507042254,0.28633405639913234,0.2800875273522976,0.9041095890410958,0.5938712535516788,0.42737896494156935,0.4311774461028192,0.6685863554428524,0.3632865266304177,142.0,461.0,603.0,,
perpetration,9,compact_dnn_screening_threshold_fold_internal,0.426,0.9,target_met,22,22,0.9907748471173936,3014,753,0.23490378234903783,0.2350597609561753,139,317,259,38,0.7853107344632768,0.4496527777777778,0.3048245614035088,0.8720538720538721,0.6174817561205272,0.4391785150078989,0.5285524568393094,0.6824682203389831,0.41206112115092874,177,576,753,,3.2570621468926553,3.2597173144876326,20.0,20.0,128.0,336.0,125.0,14.0,0.9014084507042254,0.27114967462039047,0.27586206896551724,0.8992805755395683,0.5862790626623079,0.42244224422442245,0.41956882255389716,0.6551281659588768,0.3569205901775613,142.0,461.0,603.0,,
perpetration,10,compact_dnn_screening_threshold_fold_internal,0.464,0.9,target_met,22,22,0.9905777979662397,3014,753,0.23490378234903783,0.2350597609561753,112,207,369,65,0.632768361581921,0.640625,0.3510971786833856,0.8502304147465438,0.6366966807909604,0.4516129032258065,0.6387782204515272,0.6894322818581292,0.4133379977693803,177,576,753,,3.2570621468926553,3.2597173144876326,46.0,16.0,130.0,364.0,97.0,12.0,0.9154929577464789,0.210412147505423,0.2631578947368421,0.8899082568807339,0.5629525526259509,0.40880503144654085,0.37645107794361526,0.628777000397177,0.36623770663588334,142.0,461.0,603.0,,
perpetration,11,compact_dnn_screening_threshold_fold_internal,0.363,0.9,target_met,22,22,0.9908634173240279,3013,754,0.23498174576833722,0.23474801061007958,177,577,0,0,1.0,0.0,0.23474801061007958,,0.5,0.3802363050483351,0.23474801061007958,0.6270892694533385,0.37686429682058165,177,577,754,,3.255649717514124,3.2579505300353353,16.0,25.0,129.0,304.0,157.0,13.0,0.9084507042253521,0.3405639913232104,0.2979214780600462,0.9235294117647059,0.6245073477742813,0.44869565217391305,0.47429519071310117,0.704653081176866,0.4188841309428094,142.0,461.0,603.0,,
perpetration,12,compact_dnn_screening_threshold_fold_internal,0.47700000000000004,0.9,target_met,22,22,0.990771856856625,3013,754,0.23498174576833722,0.23474801061007958,171,547,30,6,0.9661016949152542,0.05199306759098787,0.2381615598885794,0.8333333333333334,0.509047381253121,0.38212290502793295,0.26657824933687,0.5382310607173282,0.26567670935704,177,577,754,,3.255649717514124,3.2579505300353353,16.0,16.0,134.0,396.0,65.0,8.0,0.9436619718309859,0.14099783080260303,0.2528301886792453,0.8904109589041096,0.5423299013167945,0.3988095238095238,0.33001658374792703,0.5681464055482569,0.3021600102750818,142.0,461.0,603.0,,
