outcome,fold_id,ccp_alpha,selected_threshold,threshold_status,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support
victimization,1,0.0016217584663728159,0.155,target_met,255.0,241.0,64.0,43.0,0.8557046979865772,0.2098360655737705,0.5141129032258065,0.5981308411214953,0.5327703817801739,0.6423173803526449,0.5290215588723052,0.6500990207943668,0.616538974769737,298.0,305.0,603.0
victimization,1,0.0016347486889809757,0.125,target_met,271.0,272.0,33.0,27.0,0.9093959731543624,0.10819672131147541,0.4990791896869245,0.55,0.5087963472329189,0.6444708680142687,0.5041459369817579,0.6581417097590494,0.6350591595052355,298.0,305.0,603.0
victimization,1,0.0017172350087323433,0.125,target_met,273.0,274.0,31.0,25.0,0.9161073825503355,0.10163934426229508,0.4990859232175503,0.5535714285714286,0.5088733634063153,0.6461538461538462,0.5041459369817579,0.6573550445593576,0.6330673372617643,298.0,305.0,603.0
victimization,1,0.0018144807641709737,0.125,target_met,274.0,275.0,30.0,24.0,0.9194630872483222,0.09836065573770492,0.4990892531876138,0.5555555555555556,0.5089118714930135,0.6469893742621016,0.5041459369817579,0.6649521399493894,0.6448374055662487,298.0,305.0,603.0
victimization,1,0.001917646779447944,0.3,target_met,254.0,217.0,88.0,44.0,0.8523489932885906,0.28852459016393445,0.5392781316348195,0.6666666666666666,0.5704367917262625,0.6605981794538363,0.5671641791044776,0.6667730223346903,0.6443261570964857,298.0,305.0,603.0
victimization,1,0.002096924417759449,0.336,target_met,261.0,219.0,86.0,37.0,0.8758389261744967,0.2819672131147541,0.54375,0.6991869918699187,0.5789030696446253,0.6709511568123393,0.5754560530679934,0.6927549785454945,0.6870277649767533,298.0,305.0,603.0
victimization,1,0.0023080589587274516,0.336,target_met,259.0,213.0,92.0,39.0,0.8691275167785235,0.3016393442622951,0.548728813559322,0.7022900763358778,0.5853834305204093,0.6727272727272727,0.582089552238806,0.701089228738035,0.6936078173438814,298.0,305.0,603.0
victimization,1,0.002506358198979013,0.336,target_met,263.0,227.0,78.0,35.0,0.8825503355704698,0.25573770491803277,0.536734693877551,0.6902654867256637,0.5691440202442513,0.6675126903553299,0.5655058043117744,0.6831499614919133,0.6739967429800685,298.0,305.0,603.0
victimization,1,0.0030327627898770015,0.336,target_met,267.0,228.0,77.0,31.0,0.8959731543624161,0.25245901639344265,0.5393939393939394,0.7129629629629629,0.5742160853779293,0.673392181588903,0.5704809286898839,0.6788150511607438,0.6357463576643924,298.0,305.0,603.0
victimization,1,0.004343751160344618,0.311,target_met,279.0,287.0,18.0,19.0,0.9362416107382551,0.05901639344262295,0.4929328621908127,0.4864864864864865,0.49762900209043903,0.6458333333333334,0.4925373134328358,0.6529706238310045,0.6190140949355588,298.0,305.0,603.0
victimization,1,0.02172673358285976,0.495,target_not_met_nonzero_specificity,0.0,0.0,305.0,298.0,0.0,1.0,,0.5058043117744611,0.5,,0.5058043117744611,0.5,0.494195688225539,298.0,305.0,603.0
victimization,2,0.0,0.001,target_not_met_nonzero_specificity,172.0,127.0,178.0,126.0,0.5771812080536913,0.5836065573770491,0.5752508361204013,0.5855263157894737,0.5803938827153703,0.576214405360134,0.5804311774461028,0.5803938827153703,0.5409791964064663,298.0,305.0,603.0
victimization,2,0.0003820441461625792,0.081,target_not_met_nonzero_specificity,174.0,127.0,178.0,124.0,0.5838926174496645,0.5836065573770491,0.5780730897009967,0.5894039735099338,0.5837495874133568,0.5809682804674458,0.5837479270315091,0.578039388271537,0.540486778238406,298.0,305.0,603.0
victimization,2,0.00039131764950160394,0.001,target_not_met_nonzero_specificity,179.0,139.0,166.0,119.0,0.6006711409395973,0.5442622950819672,0.5628930817610063,0.5824561403508772,0.5724667180107823,0.5811688311688311,0.572139303482587,0.5772637253823303,0.5405824644603272,298.0,305.0,603.0
victimization,2,0.00039912888917741595,0.001,target_not_met_nonzero_specificity,187.0,143.0,162.0,111.0,0.62751677852349,0.5311475409836065,0.5666666666666667,0.5934065934065934,0.5793321597535482,0.5955414012738854,0.5787728026533997,0.5758224227087689,0.5348457376499574,298.0,305.0,603.0
victimization,2,0.0004016944615224062,0.001,target_not_met_nonzero_specificity,195.0,157.0,148.0,103.0,0.6543624161073825,0.4852459016393443,0.5539772727272727,0.5896414342629482,0.5698041588733634,0.6,0.5688225538971807,0.5757894157773132,0.5386574614393187,298.0,305.0,603.0
