idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
2265,1,0.9639776772727874,11.0,0.0
2267,1,0.6063908251299874,0.0,0.0
2269,0,0.4467941721977495,1.0,2.0
2274,0,0.302444318075357,4.0,0.0
2275,1,0.8777956050596925,1.0,0.0
2278,0,0.3602635372207634,1.0,0.0
2286,0,0.2845859159269683,0.0,0.0
2296,1,0.8878486256402506,4.0,1.0
2299,1,0.5158860659981018,3.0,0.0
2307,1,0.6884210818309725,0.0,0.0
2310,1,0.6948206875098676,0.0,0.0
2311,1,0.6416196987166134,0.0,0.0
2315,0,0.2822120180688975,0.0,0.0
2318,0,0.4875404355484042,0.0,0.0
2320,1,0.5090787365573075,2.0,0.0
2321,1,0.5761328620691891,7.0,4.0
2322,0,0.259900639775714,8.0,0.0
2324,0,0.306474775503129,0.0,0.0
2329,1,0.5161157506050956,8.0,1.0
2331,1,0.8890413210397456,7.0,2.0
2332,0,0.3728177961008864,0.0,0.0
2334,0,0.4638870759094532,0.0,0.0
2335,1,0.6468159235626193,0.0,0.0
2341,0,0.4911475547521617,2.0,0.0
2347,1,0.7733916726201285,0.0,0.0
2357,0,0.2973915226007632,3.0,0.0
2362,1,0.757351925256257,0.0,1.0
2363,0,0.4702624983372961,4.0,3.0
2364,0,0.4294469666551881,0.0,0.0
2373,1,0.6930671577763728,0.0,0.0
2374,1,0.8130065254198862,2.0,0.0
2377,1,0.6442216728401288,1.0,0.0
2379,1,0.6506499773131446,1.0,0.0
2388,1,0.7533771409780914,0.0,1.0
2390,0,0.4848442125938438,4.0,1.0
2392,0,0.3626602203835606,1.0,2.0
2402,1,0.945730420629528,9.0,8.0
2404,0,0.3140832677134776,1.0,2.0
2407,0,0.192178092245311,0.0,0.0
2408,1,0.942019193657785,0.0,0.0
