umap_1,umap_2,umap_3,cluster
-8.236785,4.406096,3.7451353,0
-8.23138,4.413116,3.7415197,0
16.588161,5.532282,6.563469,3
18.967196,6.6497154,4.5278664,3
12.585209,15.004432,-9.147401,6
16.656715,5.9830856,4.697031,3
-8.237809,4.3968635,3.753831,0
17.182117,5.730167,4.5970125,3
-8.225668,4.413013,3.746714,0
18.13367,6.318538,4.787174,3
-8.227608,4.40661,3.7521744,0
12.590738,14.991839,-9.157261,6
10.072851,-6.147405,-6.575083,1
16.633396,5.9882903,4.6896396,3
16.586994,5.535112,6.550286,3
-8.229569,4.3760686,3.7688363,0
-8.239053,4.368954,3.763399,0
-8.243061,4.3490963,3.7785683,0
-8.237754,4.364147,3.765909,0
16.893003,6.015367,4.690916,3
16.434498,5.681498,5.201357,3
16.34914,5.026881,8.740814,3
18.213602,6.452184,4.6633053,3
13.507103,-6.4556227,0.7317162,1
16.65334,6.27567,4.218719,3
-8.246011,4.3375726,3.7695942,0
16.55747,5.4221706,6.7355747,3
13.2923975,-6.633751,0.7224312,1
-8.242667,4.3498354,3.7788486,0
-8.250311,4.32117,3.7829542,0
-8.238704,4.345743,3.7750285,0
-8.244491,4.328131,3.7792645,0
-8.242829,4.329667,3.7782166,0
-8.254348,4.3011665,3.7822335,0
18.19494,6.493055,4.6148124,3
16.348375,5.0276666,8.740377,3
16.346659,5.028458,8.741692,3
-8.254586,4.3010244,3.7862306,0
-8.246849,4.3121133,3.785745,0
-8.3057785,4.204157,3.7836308,0
-8.2648945,4.271153,3.7895603,0
16.65994,5.976875,4.714609,3
19.076786,0.0026396578,24.131098,7
10.667709,-6.6073456,-5.7518573,1
-8.261403,4.270776,3.7910485,0
-8.268739,4.2524657,3.7905393,0
16.352922,5.0244217,8.741073,3
-8.27607,4.2433634,3.792051,0
18.21611,6.43795,4.677175,3
17.81306,6.2825427,4.7533164,3
16.566803,6.300573,4.174292,3
18.140327,6.3178844,4.7908187,3
12.589959,15.002915,-9.149416,6
17.68251,6.1326275,4.875435,3
10.081401,-6.1436296,-6.559884,1
16.639647,6.264676,4.2280083,3
-8.263742,4.26071,3.7992523,0
-8.26616,4.255851,3.7937486,0
18.967133,6.6495967,4.5279765,3
-8.265866,4.248666,3.8009965,0
14.29401,3.833115,2.753938,3
-8.293758,4.20282,3.7979813,0
-8.274096,4.229612,3.8005924,0
-8.286799,4.2014084,3.8028855,0
14.264851,3.736487,2.6467357,3
-8.30441,4.1833506,3.7985182,0
-8.292799,4.1948004,3.8004324,0
-8.3182335,4.156296,3.797716,0
-8.292945,4.1940165,3.8030925,0
10.074627,-6.1424236,-6.5660124,1
16.480118,5.4993315,6.7775917,3
18.203016,6.4372034,4.676328,3
16.559855,6.303601,4.1673775,3
25.73492,6.945177,-15.2025,4
-8.29099,4.1933703,3.8060844,0
-8.310272,4.156563,3.7985928,0
-8.339283,4.1131487,3.7935092,0
10.071271,-6.1455317,-6.575,1
16.653343,5.983287,4.7152014,3
16.831865,4.7425103,4.605482,3
-8.331217,4.1285434,3.8040755,0
