V.SUM.TOTAL,P.SUM.TOTAL,PAÍS,ETNIA.BN,EDAD,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2,INTERSECT,idx_original
1.0,0.0,1,0.0,17.0,1,0,1,0,0,553
0.0,0.0,1,1.0,15.0,0,1,1,0,0,1318
0.0,2.0,1,0.0,16.0,0,1,1,0,0,568
3.0,1.0,1,0.0,16.0,0,1,1,0,1,271
3.0,0.0,1,1.0,14.0,1,0,1,0,0,392
6.0,0.0,1,0.0,17.0,0,1,1,0,0,2358
8.0,8.0,1,1.0,14.0,1,0,1,0,1,3196
1.0,0.0,1,0.0,17.0,1,0,1,0,0,1715
6.0,0.0,2,0.0,17.0,0,1,0,1,0,299
0.0,1.0,1,0.0,16.0,1,0,1,0,0,1986
0.0,0.0,1,0.0,17.0,1,0,1,0,0,310
1.0,2.0,1,0.0,15.0,1,0,1,0,1,1353
6.0,0.0,1,0.0,16.0,0,1,1,0,0,1386
7.0,1.0,1,0.0,15.0,0,1,0,1,1,572
4.0,0.0,1,0.0,17.0,1,0,1,0,0,1027
14.0,1.0,1,1.0,14.0,1,0,0,1,1,424
7.0,1.0,1,0.0,15.0,1,0,1,0,1,411
9.0,0.0,1,0.0,15.0,0,1,0,1,0,1149
8.0,2.0,1,0.0,14.0,0,1,1,0,1,950
1.0,0.0,1,0.0,14.0,1,0,1,0,0,2775
1.0,0.0,2,1.0,15.0,1,0,1,0,0,1283
1.0,2.0,1,1.0,16.0,1,0,1,0,1,3411
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1288
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1311
3.0,2.0,1,0.0,14.0,0,1,1,0,1,31
0.0,0.0,1,0.0,17.0,0,1,1,0,0,999
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1762
0.0,0.0,1,0.0,16.0,0,1,0,1,0,2479
1.0,0.0,1,0.0,14.0,1,0,1,0,0,1239
0.0,0.0,1,0.0,14.0,1,0,1,0,0,3726
0.0,0.0,1,0.0,14.0,0,1,1,0,0,2134
0.0,0.0,1,0.0,17.0,0,1,1,0,0,422
2.0,0.0,1,0.0,16.0,1,0,1,0,0,1010
1.0,0.0,1,0.0,15.0,0,1,1,0,0,2986
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2697
1.0,0.0,1,1.0,16.0,0,1,1,0,0,2802
3.0,2.0,1,0.0,16.0,0,1,0,1,1,3387
0.0,0.0,1,0.0,16.0,0,1,1,0,0,3361
3.0,1.0,1,1.0,17.0,0,1,1,0,1,1959
2.0,0.0,1,0.0,14.0,1,0,1,0,0,377
2.0,2.0,1,0.0,15.0,0,1,1,0,1,1834
5.0,7.0,1,0.0,15.0,0,1,1,0,1,3082
1.0,0.0,1,0.0,15.0,1,0,1,0,0,221
6.0,4.0,1,0.0,15.0,0,1,1,0,1,2893
1.0,1.0,2,1.0,15.0,0,1,1,0,1,2653
5.0,0.0,1,0.0,14.0,1,0,0,1,0,1653
