strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,victim_threshold,perp_threshold
Smart AND grid,942,178,764,25,20,744,153,0.1404494382022472,0.9738219895287958,0.5555555555555556,0.8294314381270903,0.5571357138655215,0.2242152466367713,0.8163481953290871,0.02617801047120419,0.8595505617977528,0.3996067080511836,0.7213291958350492,0.01,0.77
Smart AND grid,942,178,764,19,15,749,159,0.10674157303370786,0.9803664921465969,0.5588235294117647,0.8248898678414097,0.5435540325901523,0.1792452830188679,0.8152866242038217,0.01963350785340314,0.8932584269662921,0.3996067080511836,0.7213291958350492,0.01,0.78
Smart AND grid,942,178,764,12,13,751,166,0.06741573033707865,0.9829842931937173,0.48,0.8189749182115594,0.525200011765398,0.11822660098522167,0.8099787685774947,0.017015706806282723,0.9325842696629213,0.3996067080511836,0.7213291958350492,0.01,0.79
Smart AND grid,942,178,764,9,13,751,169,0.05056179775280899,0.9829842931937173,0.4090909090909091,0.816304347826087,0.5167730454732631,0.09,0.8067940552016986,0.017015706806282723,0.949438202247191,0.3996067080511836,0.7213291958350492,0.01,0.8
Smart AND grid,942,178,764,5,10,754,173,0.028089887640449437,0.9869109947643979,0.3333333333333333,0.8133764832793959,0.5075004412024237,0.05181347150259066,0.8057324840764332,0.013089005235602094,0.9719101123595506,0.3996067080511836,0.7213291958350492,0.01,0.81
Smart AND grid,942,178,764,4,8,756,174,0.02247191011235955,0.9895287958115183,0.3333333333333333,0.8129032258064516,0.5060003529619389,0.042105263157894736,0.8067940552016986,0.010471204188481676,0.9775280898876404,0.3996067080511836,0.7213291958350492,0.01,0.82
Smart AND grid,942,178,764,2,7,757,176,0.011235955056179775,0.9908376963350786,0.2222222222222222,0.8113612004287245,0.5010368256956291,0.0213903743315508,0.8057324840764332,0.009162303664921465,0.9887640449438202,0.3996067080511836,0.7213291958350492,0.01,0.83
Smart AND grid,942,178,764,1,6,758,177,0.0056179775280898875,0.9921465968586387,0.14285714285714285,0.8106951871657754,0.4988822871933643,0.01081081081081081,0.8057324840764332,0.007853403141361256,0.9943820224719101,0.3996067080511836,0.7213291958350492,0.01,0.84
Smart AND grid,942,178,764,1,5,759,177,0.0056179775280898875,0.993455497382199,0.16666666666666666,0.8108974358974359,0.49953673745514443,0.010869565217391304,0.8067940552016986,0.006544502617801047,0.9943820224719101,0.3996067080511836,0.7213291958350492,0.01,0.85
Smart AND grid,942,178,764,1,3,761,177,0.0056179775280898875,0.9960732984293194,0.25,0.8113006396588486,0.5008456379787046,0.010989010989010988,0.8089171974522293,0.003926701570680628,0.9943820224719101,0.3996067080511836,0.7213291958350492,0.01,0.86
Smart AND grid,942,178,764,0,3,761,178,0.0,0.9960732984293194,0.0,0.8104366347177849,0.4980366492146597,,0.807855626326964,0.003926701570680628,1.0,0.3996067080511836,0.7213291958350492,0.01,0.87
Smart AND grid,942,178,764,0,1,763,178,0.0,0.9986910994764397,0.0,0.8108395324123273,0.4993455497382199,,0.8099787685774947,0.0013089005235602095,1.0,0.3996067080511836,0.7213291958350492,0.01,0.88
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.89
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.9
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.91
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.92
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.93
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.94
