strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,ccp_alpha,depth,n_leaves
victim_tree_candidate,942,465,477,262,190,287,203,0.5634408602150538,0.6016771488469602,0.5796460176991151,0.5857142857142857,0.582559004531007,0.5714285714285715,0.5828025477707006,0.39832285115303984,0.43655913978494626,0.5397579583820822,0.5821352088546246,0.0006489675516224189,24,305
victim_tree_candidate,942,465,477,264,190,287,201,0.567741935483871,0.6016771488469602,0.5814977973568282,0.5881147540983607,0.5847095421654156,0.5745375408052231,0.5849256900212314,0.39832285115303984,0.432258064516129,0.538155605329223,0.5831293253082663,0.0006507828454731109,24,299
victim_tree_candidate,942,465,477,264,190,287,201,0.567741935483871,0.6016771488469602,0.5814977973568282,0.5881147540983607,0.5847095421654156,0.5745375408052231,0.5849256900212314,0.39832285115303984,0.432258064516129,0.5380258652625731,0.5830211221568495,0.0006510935714475533,24,298
victim_tree_candidate,942,465,477,263,191,286,202,0.5655913978494623,0.59958071278826,0.579295154185022,0.5860655737704918,0.5825860553188611,0.5723612622415668,0.5828025477707006,0.40041928721174,0.4344086021505376,0.5348425328954101,0.5806000766438989,0.0006535057862491488,24,295
victim_tree_candidate,942,465,477,263,191,286,202,0.5655913978494623,0.59958071278826,0.579295154185022,0.5860655737704918,0.5825860553188611,0.5723612622415668,0.5828025477707006,0.40041928721174,0.4344086021505376,0.5335569761151377,0.5778476589797344,0.0006573957016434895,24,292
victim_tree_candidate,942,465,477,263,190,287,202,0.5655913978494623,0.6016771488469602,0.5805739514348786,0.5869120654396728,0.5836342733482113,0.5729847494553377,0.583864118895966,0.39832285115303984,0.4344086021505376,0.5331624986395147,0.5783165393025406,0.0006607669616519172,24,289
victim_tree_candidate,942,465,477,264,189,288,201,0.567741935483871,0.6037735849056604,0.5827814569536424,0.588957055214724,0.5857577601947657,0.5751633986928104,0.5859872611464968,0.39622641509433965,0.432258064516129,0.5359124604407525,0.5815062780370144,0.000663716814159292,24,286
victim_tree_candidate,942,465,477,264,189,288,201,0.567741935483871,0.6037735849056604,0.5827814569536424,0.588957055214724,0.5857577601947657,0.5751633986928104,0.5859872611464968,0.39622641509433965,0.432258064516129,0.5385095277689251,0.5830188679245283,0.000666319625195211,24,285
victim_tree_candidate,942,465,477,264,190,287,201,0.567741935483871,0.6016771488469602,0.5814977973568282,0.5881147540983607,0.5847095421654156,0.5745375408052231,0.5849256900212314,0.39832285115303984,0.432258064516129,0.5377792864620512,0.5819255652487546,0.0006686332350049165,24,283
victim_tree_candidate,942,465,477,264,190,287,201,0.567741935483871,0.6016771488469602,0.5814977973568282,0.5881147540983607,0.5847095421654156,0.5745375408052231,0.5849256900212314,0.39832285115303984,0.432258064516129,0.5372359638753759,0.5801086539978809,0.0006688223281143633,24,281
