umap_1,umap_2,umap_3,cluster
16.545263,-0.06387024,-0.7067219,0
16.55012,-0.062341027,-0.7033155,0
16.552425,-0.061335884,-0.7031751,0
16.557138,-0.06155198,-0.7021463,0
16.558062,-0.062675945,-0.7031378,0
-11.52244,2.617622,-8.953462,3
16.559925,-0.062365744,-0.70341027,0
16.564173,-0.061031453,-0.7010788,0
16.564743,-0.062610455,-0.70262736,0
16.568705,-0.061665583,-0.6991225,0
16.57082,-0.06298988,-0.70007735,0
16.57266,-0.058902122,-0.6980808,0
16.575607,-0.058191195,-0.6969252,0
16.581648,-0.059492804,-0.69343054,0
16.588345,-0.057330847,-0.6904064,0
16.592997,-0.057332437,-0.68941134,0
16.593885,-0.05506916,-0.6886369,0
-1.0371761,5.2082086,13.209101,4
-12.058428,1.7073082,-7.9229198,3
16.597544,-0.052799366,-0.6875868,0
16.598623,-0.050431564,-0.685467,0
-11.522378,2.6176674,-8.95353,3
16.603268,-0.047531784,-0.6823374,0
16.607649,-0.045462143,-0.6805449,0
16.615658,-0.043565843,-0.67475504,0
16.621735,-0.043160576,-0.67262346,0
16.627296,-0.040092234,-0.66828,0
16.627705,-0.03962437,-0.6679111,0
16.630205,-0.03801326,-0.6658073,0
16.63069,-0.037416846,-0.66464186,0
16.633741,-0.035537574,-0.6624352,0
16.639622,-0.034519408,-0.66041744,0
16.642694,-0.03345932,-0.65831494,0
16.647097,-0.03200632,-0.6559788,0
16.651361,-0.030842304,-0.6548547,0
-12.307224,1.9743005,-9.352826,3
16.656775,-0.029490994,-0.6507985,0
16.659374,-0.030260222,-0.649854,0
16.662897,-0.03058812,-0.6489658,0
16.66587,-0.029753221,-0.64806217,0
16.669569,-0.029243667,-0.645722,0
-3.1321237,24.836561,0.731327,1
16.675377,-0.026289515,-0.64283514,0
1.9124793,8.669563,6.688582,4
-34.336723,-8.120177,-1.8254863,2
16.680986,-0.025208615,-0.64061314,0
16.68842,-0.023304373,-0.63631564,0
16.695213,-0.022080658,-0.63350725,0
16.682007,-0.055228684,-0.6424694,0
-33.67085,-7.8615665,-2.1402028,2
16.699772,-0.020686163,-0.6316393,0
16.70462,-0.020981774,-0.6292333,0
16.70961,-0.019574605,-0.6273214,0
-3.128702,24.837257,0.74624926,1
-34.337963,-8.116127,-1.8251866,2
-12.286304,1.9789593,-9.219634,3
16.71671,-0.019276649,-0.6246675,0
1.912391,8.669878,6.6882143,4
-11.522496,2.6176152,-8.953415,3
-3.132206,24.836483,0.7333736,1
-34.339783,-8.116121,-1.8266667,2
16.71816,-0.019253762,-0.6231906,0
16.722664,-0.017412933,-0.62078786,0
16.72898,-0.017168928,-0.6189775,0
16.731794,-0.016263263,-0.6166495,0
16.736465,-0.016395614,-0.61429995,0
16.740547,-0.017838672,-0.6131904,0
16.743761,-0.01704765,-0.6120076,0
16.75049,-0.01539339,-0.6091048,0
16.75152,-0.0145021975,-0.6096668,0
-34.322952,-8.118464,-1.8193133,2
16.756325,-0.013988524,-0.60803443,0
-3.1337237,24.834854,0.73512685,1
-11.52217,2.6181023,-8.953411,3
16.75966,-0.015673608,-0.6063859,0
-34.322906,-8.117242,-1.8181273,2
16.766792,-0.013159933,-0.6012213,0
-34.321617,-8.118533,-1.8186697,2
-12.27764,1.9962357,-9.347356,3
16.771225,-0.013454014,-0.6002142,0
-3.1355631,24.832363,0.7386434,1
16.774405,-0.012057326,-0.59786105,0
16.78221,-0.008089346,-0.5922405,0
-12.643187,1.7796445,-9.606516,3
16.78655,-0.007429641,-0.5916026,0
16.790869,-0.0063063446,-0.59174865,0
16.7973,-0.005085447,-0.58863777,0
16.803543,-0.003068827,-0.58448756,0
16.801317,-0.0069423155,-0.59021395,0
-34.200226,-8.030049,-1.7936847,2
16.80901,-0.0013999626,-0.5853423,0
-34.318462,-8.119092,-1.8175051,2
16.810986,-0.0018811892,-0.58617824,0
-11.5224285,2.6178894,-8.953243,3
16.818058,-0.0006109715,-0.5860547,0
16.821815,0.0016631255,-0.58655906,0
16.82901,0.0035047766,-0.5852561,0
16.838297,0.006656333,-0.58269817,0
1.9122812,8.670173,6.687869,4
16.84227,0.00790914,-0.5826019,0
16.848675,0.008978447,-0.5805703,0
16.852154,0.010335309,-0.58173877,0
16.855225,0.011162031,-0.58265597,0
16.860415,0.011698307,-0.5828854,0
16.864862,0.01258811,-0.58437574,0
16.870525,0.014877841,-0.58450544,0
-1.0378493,5.208507,13.208375,4
-13.261328,1.4544559,-10.103726,3
-34.316376,-8.117796,-1.8168161,2
16.87405,0.015980469,-0.58699244,0
16.87972,0.017512696,-0.58730865,0
16.883373,0.017937005,-0.58889693,0
16.886272,0.018943815,-0.5901071,0
16.89045,0.01969968,-0.590794,0
16.894474,0.020264566,-0.591536,0
1.914271,8.672903,6.6846933,4
16.897734,0.020799072,-0.5941615,0
-3.1356585,24.83209,0.7394891,1
16.903446,0.022692848,-0.59527314,0
16.909307,0.02363694,-0.5966471,0
16.91639,0.025140552,-0.5963308,0
-3.1371596,24.829887,0.7425983,1
16.920237,0.02548273,-0.59796625,0
-1.0382017,5.208577,13.207979,4
16.92537,0.026669987,-0.600623,0
16.93065,0.02773382,-0.6017306,0
16.936018,0.027991416,-0.60463965,0
16.94147,0.02845813,-0.607185,0
16.94817,0.029306285,-0.6100964,0
16.953266,0.030477133,-0.61399984,0
-13.3137045,1.4359196,-10.147312,3
